0.102; The graduation party keeps going.
0.205; Going where?
0.092; Not yet, Clara says stiffly.
0.071; Tommy says it's an incredible opportunity for Gary, a chance to create his own site-specific piece downtown in New York.
0.092; We'll see, Clara says.
0.129; She doesn't care anymore how much wine she'll serve, at least one bottle per person these days.
0.241; The congratulations sign still hits him on the back.
0.082; When did you find out about New York?
0.143; He did very well with investments.
0.106; I'm sure you can be a journalist in New York, too.
0.082; New York is the best.
0.087; New York is very glad you're back, she says.
0.18; That's why he called.
0.071; That's what this meeting is.
0.092; Have Sasha call me, he says.
0.125; Across town, Gary sits at his art studio, drawing photo prints, moldy coffee cups.
0.333; The super is fighting with Stephen.
0.018; He should have stayed designing those greeting cards.
0.114; Do you want me to sign a statement or something?
0.046; I love you, Mama, says Clara.
0.061; In Clara's closet, there's a huge stack of Gary's greeting cards, meticulously drawn, worlds within worlds, creatures of the woods and of the seas, flying, flying.
0.122; She replaces sweetie with a number of exclamation marks.
0.161; Stephen comes home for lunch carrying a bunch of colorful foam tubes.
0.05; He uses them to help patients move through aggression.
0.18; Margaret shakes her head.
0.046; To me, you look more striking than ever, he says.
0.12; Margaret looks at her husband of eight years.
0.122; She stares at the number.
0.18; She shakes her head no.
0.031; It's funny how you look just like Margaret, he suddenly says.
0.153; Of course, that can get you in trouble.
0.046; I'd like to show you my apartment, he says.
0.466; The sex is violent, harsh.
0.099; In the darkness, he whispers, You've got this strange power.
0.156; You make me do things, admit things.
0.092; She did, he says.
0.111; Gary holds on to Tommy, leads the pack of bereaved friends to a bar.
0.131; In this alternate universe, her husband's a leader, getting things done.
0.142; I always miss the signs, says Stephen.
0.092; She's almost 21, Margaret says quietly.
0.611; Are we broke?
0.046; I need one of your sleeping pills, he says.
0.211; The bar is half dark, stinks of grief, sweat, and wine.
0.19; Gary at the other end of the bar.
0.092; I'm so sorry, says Clara.
0.038; You've booked the hotel.
0.122; And a number.
0.092; I'm okay, says Sasha.
0.046; Someone says, he wouldn't have made it without instant care.
0.046; I love you, says Sasha.
0.041; Are you sure I should go to New York?
0.046; I'm sure, Clara says.
0.205; She's not going to cry.
0.11; I'll try out New York, and then during the winter, you'll join me.
0.093; What do you think of my idea, he asks, but he's already inside her.
0.092; I'm sorry, says Sasha.
0.138; You saved someone's life, says Margaret finally.
0.161; I remember her practicing.
0.306; You broke Margaret's heart when you slept with me, she hisses.
0.167; He doesn't wait for the change.
0.137; The barman asks for I.D. I bet you didn't get to celebrate, he says as he looks at the date, September 18th.
0.214; Even in deep grief, she serves tea with linen napkins and china.
0.018; Cards of sympathy, supported on tables.
0.082; The new flyer's much better.
0.148; She can't keep ignoring the facts.
0.375; Excuse me, miss, the employees at reception surround her with an afterglow of pity.
0.222; Someone's waiting for you at the bar.
0.075; I found a letter from a lawyer you hired.
0.158; When Clara starts crying, there's no end to the tears.
0.127; I remember your cell, he says.
0.199; Stephen picks up the anger management foam tubes.
0.116; The ceiling in Sasha's room is finally fixed.
0.143; He only says, Clara's in town.
0.124; I don't have his things anymore, she says.
0.323; You're responsible for...
0.072; Remember Sasha, the little girl I used to take care of during grad school?
0.161; Right now, I can only worry about you.
0.18; Clara shakes her head.
0.236; He slams the door shut.
0.113; He still can't bear to clean it, folds the Indian bedspread instead.
0.085; And then she sticks her fingers inside Sasha's throat.
0.092; Clara, she says.
0.169; Terror and relief live on Clara's face as she starts CPR.
0.092; I'm pregnant, she says.
0.106; On 30th Street and First Avenue sits a complex of tents.
0.136; Clara called, he says quietly.
0.102; Out of deep darkness comes the day, she thinks.
0.10244648318042814
