text,start,end
" When I get the baton to run the anchor leg of the distance medley relay, that's a race you run on a track,",15.05,20.31
 I'm five yards behind Vince Mutarelli.,20.37,23.79
 This race is over.,24.89,26.99
" You can have a hundred yard lead on Vince Mutarelli,",27.11,30.11
" and over the course of a mile, he would reel you in, he would pass you, and he would win.",30.11,35.55
 He is the best high school middle distance runner in the Northeast United States.,36.13,40.96
 His nickname is La Machine.,40.96,44.05
 Because he runs like a cyborg and he never gets tired.,45.15,47.81
" Everyone, there's about 300 people that stands around the track that day.",48.95,52.01
 Everyone knows that he has no chance of being beaten.,52.01,57.42
 Except one guy.,58.5,59.64
 One guy thinks maybe he can be beaten.,60.34,63.54
 And that's the guy who should know better.,64.0,66.34
 It's the guy with the baton who's five yards behind him.,67.12,70.94
 Why?,71.6,71.78
 Why did I think that?,73.71,74.81
 It's weird because I'm not even the best runner on my high school team.,74.89,78.22
 That's a guy named Tom Novak.,78.22,80.05
 But he's been injured.,81.05,82.01
 And so I've known for about a month that I'll be running this anchor leg at the distance medley rear line.,82.81,88.26
 It has changed me.,88.26,89.85
" You know, normally I'm sort of a lazy athlete.",90.09,92.37
 I just coast along on my genetic package.,93.07,96.57
 I'm a skinny guy with big lungs.,96.75,98.29
" So, you know, I skip workouts.",98.65,100.35
 I don't run on the weekend.,100.77,101.99
" But when I hear that I'm running against Vince Mutarelli, it turns me into a sports movie montage guy.",102.19,109.01
" I am running all the time, every day of the week, and I'm throwing in extra workouts.",109.19,115.31
 Why? Why do I do that?,117.08,119.32
" It's because Vince Mutarelli is from the Bronx, where my parents grew up, and where the badasses, where the tough guys live.",120.6,128.96
" I am from Westchester County, where the men wear golf slaps and the little dogs wear capes.",129.1,138.28
 I'm from the place that produces wimps.,139.23,143.73
 And this really raises the question of what we inherit.,144.95,148.83
 Can you have a trait that you never get to use because you don't encounter an environment that triggers it?,149.01,155.21
" In other words, are the Bronx guys like Mutarelli tough because they live in the Bronx?",155.29,160.19
" Or are they tough because they inherit some sort of toughness,",161.13,164.28
 inherent toughness from their tough Bronx parents,164.28,167.19
 that's then triggered by their tough Bronx neighborhoods?,167.73,170.51
" And conversely, why am I a wimp?",171.85,175.83
 Is it nature? Is it nurture?,176.93,178.53
 I need to know.,179.95,180.93
" So, we're running.",182.87,184.81
 were running in this race.,185.43,186.65
 And the one thing you've got to know is,187.41,190.54
 my parents didn't follow my athletic career all that closely.,190.62,195.3
" Although, a few weeks before, there was an exception.",195.5,198.58
 My mom drove me to another race in the Bronx.,198.8,201.88
 And that was kind of unusual.,202.82,204.24
" And I'd had an off day, and I'd finished sort of mid-pack.",205.1,207.93
" And as she was driving me home afterwards,",207.93,210.41
" she turned to me and she said,",210.41,211.88
" you know, I thought you were supposed to be good.",212.0,215.88
" And that really, it hurt me.",217.79,220.59
" Although I could see that as soon as she said it, she regretted it.",221.66,225.42
" So then she turned to me and she said, okay, we're taking a detour.",225.74,228.66
" I'm going to show you where I grew up, the apartment house where I grew up in the Bronx.",228.68,233.38
" And I think why she did that is, I'm 18 years old.",234.56,237.88
 I'm about to leave for college. I'm a senior in high school.,238.24,241.86
" And I think she wanted to let me know, she wanted to show me that she had fought to get out of her neighborhood and out of the working class poverty that she grew up with.",241.94,252.88
" And that you have to fight in this life, especially if you want to be good at something.",252.9,259.87
" So this apartment house she's taking me to, she has these beautiful childhood memories of being a girl that's on a hill near Yankee Stadium.",261.49,269.17
 and she and her friends used to sleigh ride in winter down the hill all the way to the river.,269.33,275.03
" And in summer, her dad would take her and her friends up to the roof at night",275.81,280.31
 and he'd shoot off fireworks over the city.,280.85,283.57
 But that was before the expressways came and just mutilated the neighborhood.,285.04,290.6
" So she knows it's gone downhill, but she doesn't know how much.",291.52,295.96
" She drives around a corner and she pulls up at the curb in front of this apartment house, this place that has all of her childhood memories.",296.14,305.06
 And we look and it's a pile of bricks in an empty lot.,306.45,310.87
 And it's the only time I ever saw my mother cry.,312.09,315.85
" My mom and dad, she was a teacher and he was a government worker.",318.25,321.29
 They thought the best thing that they could do for me and my brothers is to give us a perfectly safe and uneventful childhood.,321.37,329.35
 We grew up in this little suburb called Crestwood.,329.65,332.53
 Norman Rockwell literally painted a picture of Crestwood train station.,333.01,337.85
 And my parents got a cheap little print of it and put it in a little golden frame and hung it over the fireplace.,338.21,345.81
" So on Sunday nights, we would all sit on the couch and look at it as we sipped our cocoa and watched the wonderful world of Disney on TV.",346.07,354.71
 So my childhood was like a pasteurized glass of milk and about as interesting.,356.35,366.44
" I'm about to leave home, and I don't know how to operate the stick shift on a car, or a checking account, or a condom.",367.41,375.8
" And you know, you can learn those things, and maybe someday I will.",377.13,380.79
 But what's harder to learn when you grow up sheltered is resilience.,381.89,385.53
" So I sat in the car, and I watched my mom.",387.03,390.77
" And she cried, and she gave herself only a minute.",391.49,394.47
 And then she stopped.,395.64,396.3
 And she drove us home.,397.18,398.3
 She made dinner for our family.,399.0,402.34
" And later that night, she did something just as hard.",403.3,405.96
 She came into my bedroom and she sat down on the bed.,406.5,408.88
 And she apologized for what she had said earlier in the day.,409.72,414.1
