text,start,end
 okay um so the thing starts with like this kind of beachy scene almost with sand and then you see,7.692,37.26
" This kid, Merlin, will start walking up, and it flashes through a bunch of, like, scenes of him just traveling, like, in fairly rural areas, and the music's upbeat and happy.",37.679,46.489
"And then, um, like, the title scene, the credits roll with the music, and you see, like, a bunch of, like, medieval imagery and fire and stuff.",47.37,56.56
"Um, so then after that, um, this kid just keeps walking.",57.681,61.926
"He's now in a town with, like, lots of people.",61.986,64.289
"Um, it's very obviously, like,",65.089,66.471
" medieval times, uh, he's got, like, this backpack and stuff, and he's traveled a long way, um, we understand.",66.89,73.418
"So, um, everyone's congregated, and he joins this crowd of people, and we see this other man being led up to, like, this little stump thing by two guards, and we understand that he's about to be executed, and then, um, the king of, I don't, yeah, I guess just the king,",73.999,93.302
 He starts talking.,93.653,94.474
He says that this man is going to be killed because he practiced magic and that he's going to serve as an example to not do that.,94.514,102.123
So then the man is killed.,102.704,105.547
Everyone looks really horrified.,105.667,107.129
This whole time there's this girl in the window that I guess we're supposed to think is important because she keeps being shown.,107.429,114.938
"After the man is killed,",116.14,120.505
" the king says, like, let the festivities begin, and I guess they're celebrating, like, not using magic in the kingdom.",120.62,127.126
"Um, the, uh, before the crowd fully disperses, this woman starts screaming, and turns out that she's the, uh, executed man's mother, and, um, she's pretty distressed, calls the king the only evil thing, um, says that before the festivities are over, uh,",127.766,149.665
 He's going to... One of his kids is going to be dead anyways.,149.847,153.511
"And then before the guards can seize her, she kind of like turns into this tornado and disappears.",154.011,159.998
So then Marlon leaves kind of shaken.,161.639,164.482
He goes to the...,164.943,166.805
I forgot what the guy's name was.,168.206,169.647
"Oh, the court physician.",170.128,171.149
And he has a letter for the court physician.,171.97,174.813
But before...,175.333,176.935
" So, um, he, when he goes into the room, the guy is standing on top of, like, a balcony kind of thing, and, um, he startles him, so the court physician, he falls, but before he can fall on the ground, Merlin, who is magical, like, kind of catches him and then slides the bed under him, so he lands on it nicely.",178.957,200.969
"Um, and yeah, so the guy's shocked at the first Merlins,",201.81,206.196
" tries to pass it off as, like, he didn't do anything, and then later just admits that he was born with magic.",206.547,211.833
"So he hands the guy the, um, letter, and then, um, the guy tells him to, like, go.",213.575,221.022
"The, somewhere soon or before, there's a scene with the woman that we saw in the window earlier.",221.763,229.071
"Um, turns out she's some kind of daughter of the king's, and, uh,",229.091,235.558
 So the king is just annoyed at all this magic stuff and the daughter is annoyed at how brutal the king was with everything and doesn't tell us himself and then he orders her to see some sort of singer or something and she at first refuses but then he gets angry so she does it.,238.913,260.594
We see the court physician reading the letter that he got and,263.456,267.3
" Uh, so, what happened was Merlin's mother sent him there so that he could get some protection or kind of treating or guidance.",267.905,277.719
"While he, um, because of his magic powers or gifts, as she calls them.",282.186,288.114
"Um, so then the next morning, uh, we, yeah, so Merlin goes, like, eats breakfast, um,",288.135,297.388
" uh, the guy kind of, like, on purpose knocks over a pail of water and sees Merlin again, like, just instinctively, like, stop it from falling, um, with magic.",299.191,311.649
"And, uh, again, he questions him, like, that's, like, asking him where he learned this stuff, um, how he came to have, uh, supernatural powers.",311.669,321.043
And then he sends him off on errands.,322.765,324.267
"He comes to deliver, like, these two things of medicines to these two different people, um,",324.367,328.894
" So, Merlin does that, and the first guy, who's, like, pretty blind, just chugs it all at once, even though he wasn't supposed to.",329.498,335.965
"Um, and then on his way to deliver the second one, he sees this, uh, blonde guy, kind of in a suit, um, and this other, like, smaller, I mean, I guess we're supposed to see him as, like, some kind of peasant kid.",335.985,352.444
"Um, the blonde guy's, like, surrounded by a bunch of his posse.",353.125,356.248
 the other kid is alone and um the other kid has this massive target like this big wooden thing and the blonde guy is like aggressively throwing weapons at him and um calling it target practice and just generally being aggressive about that all and then so the small guy eventually falls down because he gets exhausted um and Merlin is there and uh,359.013,387.433
" At first he's nice to her and tells the blonde guy and his crew, like, okay, that's enough.",387.802,392.827
"But then the blonde guy doesn't like to hear that, and they get into something of a verbal argument.",393.247,402.316
Moreland calls him my friend.,402.677,405.72
"He responds with, no.",405.94,407.802
And it ends with Moreland trying to punch the guy who we now know his name is Arthur.,408.722,416.35
He's the king's son.,416.39,417.471
