0.183; It was more real than any dream he had ever had in his life.
0.12; I dreamed there was a big explosion and then something sort of hit me on the head.
0.147; Well, there'll be an explosion down at your office if you don't hurry and get to work.
0.295; If you'll excuse me, this is my stop.
0.152; Well, the answer to your problems is a feckle freezer.
0.161; He had an appointment with Mr. Dorchin of the Human Research Institute.
0.27; Dorch must have landed another account.
0.137; He couldn't shake the thought out of his mind.
0.142; I think I'll sit up and read for a while.
0.13; A big explosion and then nothing.
0.075; Oh, now, Mary, you told me.
0.098; Guy Burkhart got up, dressed, ate breakfast, and took the usual bus to work.
0.102; He had an appointment with Mr. Dorchin at the Research Institute.
0.253; Let me have a cigarette, will you?
0.184; Perish the thought, Miss Horne.
0.184; Perish the thought.
0.218; After a long while, he forced himself to open them.
0.312; They were exactly as he suspected.
0.183; Let's stop playing games.
0.103; Today, the same thing happens.
0.093; I thought so when I saw you, but I couldn't be sure.
0.167; Come down here.
0.156; I was looking for a fuse, and I thought maybe I'd drop one under the boathouse, so I scratched around.
0.253; Let me put the flashlight on it.
0.082; Today's the day Mr. Barth fills out the quarterly tax return.
0.115; He'll be at a meeting with that crackpot Dorchin at the Human Research Institute.
0.174; And Miss Horne will have a new hairdo, and the elevator will be selling some new product, and Swanson...
0.184; First I thought perhaps they were Russians.
0.263; Now, wait a minute.
0.294; Well, why doesn't it work for us?
0.253; Let me see.
0.263; Wait a minute.
0.167; Oh, come on.
0.167; Well, you just come with me.
0.188; There's a room a little farther down.
0.167; Come on.
0.189; Now, just so I know I'm not completely insane, tell me what you see.
0.059; A tremendous panel with dozens of telescreens.
0.345; We're lost anyway.
0.086; So far, so good.
0.167; Come on.
0.127; Here, let's look at this screen.
0.189; Tests in the 47K12 group of Marlin cigarettes pulled 80% using the soft feminine approach.
0.166; This should be abandoned and a new series of high persuasion personal elements introduced.
0.121; Hypnosis, drugs, maybe some kind of array or something.
0.193; However they do it, what happens is that they let us live through a single day.
0.263; Wait a minute.
0.09; This whole community is one big test tube for Dorchen's propaganda research.
0.167; Come on.
0.263; Wait.
0.072; Good Lord, it's Dorjan, the head of the Research Institute.
0.083; All right, Burkhardt, come out.
0.167; Come out peacefully.
0.127; Let our maintenance crew adjust you properly so you don't remember from one experiment to the next.
0.167; If you don't come out peacefully, we'll have to get you.
0.325; Burkhart, I've killed him.
0.263; Wait.
0.21; Come on, let's get out of here.
0.263; Wait.
0.075; I told you it was useless, gentlemen.
0.253; Now, why not be reasonable and let the maintenance crews adjust you?
0.289; You see, Burkhardt, you're already dead.
0.289; Dead?
0.129; After all, it only has to last for a single day, June 15th.
0.1; At midnight, we turn off the power and wash out the memory of the day.
0.232; Burkhart, it's no use.
0.167; Come on.
0.1826829268292683
