text,start,end
" This is Los Angeles, and it's the height of summer.",21.192,24.098
"In a small bungalow off La Cienega, Clara serves homemade chili and chips in red plastic bowls, wine in blue plastic.",24.138,32.755
"The colors don't match, and the cups are too big to serve wine.",33.196,36.703
" You didn't get half the things on my list, she hisses at Gary as he passes.",36.683,40.37
He shrugs.,40.931,41.552
No one seems to mind but her.,42.113,43.596
Did you have to buy a $400 bottle of scotch?,44.277,46.822
Gary waves away her upset.,47.263,48.946
"He seems distracted, guilty of something.",49.327,52.032
She can tell by the way he avoids her.,52.493,54.777
 Clara looks at her face in the hallway mirror.,54.757,57.22
She's 33 years old.,57.541,58.842
She's slowly getting white hairs in her eyebrows.,59.143,61.786
She feels completely alone.,62.307,64.309
"Grad students fill the low ceiling space, chewing big words and gesticulating emphatically.",65.11,70.077
Gary's face looks up from the photo his parents have framed in expensive mahogany.,70.457,74.883
"Elated, graduating, cap and gown and all.",74.923,77.947
Toast and more toast.,78.268,79.69
"To our doctor of philosophy, amazing art prodigy, to Gary Loewesen.",80.13,84.696
 Clara's carefully picked happy graduation paper banners hang too low from the adobe doors.,84.676,91.155
People have to duck when they go in the kitchen.,91.636,93.943
" 74th and Columbus, apartment 9D.",100.741,103.789
Stephen Perdue watches his wife get ready for her violin lesson.,104.51,107.919
"Black clothes, pearl necklace, her controlled, quiet elegance.",108.3,112.55
We cannot ignore this.,113.432,114.675
"We should be vigilant, Stephen.",114.996,116.961
" Married eight years, he still can't believe his good luck.",116.941,119.886
"Stephen, are you listening?",120.447,121.99
"Yes, yes, he is listening.",122.05,124.234
"Sasha broke up with this guy, and now I'm missing ten sleeping pills.",124.715,128.722
"Oh, God, what is his daughter getting into again?",129.303,131.688
We don't want a repeat of last year.,131.728,133.831
There is an edge in Margaret's voice.,133.852,136.316
This girl better grow up.,136.576,138.3
"She sounds cold, and he notices.",139.021,141.345
" Margaret pauses by the mirror, then touches her neck.",141.325,144.169
She hates her age.,144.69,145.932
She hates being Sasha's stepmother.,146.332,148.295
"You think I should talk to her, Maggie?",148.836,150.439
Margaret turns and wraps her arms around Stephen's stoop frame.,151.12,154.384
He looks much older than 50.,154.845,156.447
"She doesn't talk to me, Margaret whispers.",156.968,159.252
"So yes, I think you should do it.",159.332,161.415
She stops.,161.916,162.637
"I'll be home late tonight, she adds.",163.217,165.02
"She wants Stephen to ask why, but he doesn't.",165.601,168.345
 The graduation party keeps going.,174.181,176.004
"Clara stares at her husband, once the most handsome man in the room.",176.464,180.17
Gary's 35 and already balding.,180.751,182.733
"His face is liquor flushed as he bends over a four-month-old baby boy, son of friends, his friends, not hers.",182.794,189.884
"He has to hold the boy, and Clara's eyes melt.",190.505,193.329
"In an alternate universe, this boy would be theirs.",193.81,196.233
Gary's awkward.,196.834,197.775
"The baby starts crying, and everyone laughs.",197.815,200.239
" You're not daddy material, man.",200.219,201.902
"Clara can see the back of Gary's neck, all red, embarrassed, but hiding it.",202.282,206.99
"She knows this neck, has studied it each night for ten years.",207.631,211.136
And Clara is suddenly filled with a need to protect him.,211.737,214.581
"She puts her hand on the small of his back, hoping he'd turn.",215.062,218.608
The baby's father steps up.,218.668,220.831
"So, is it time to open that scotch?",221.132,223.075
"Clara, you're moving to New York, too?",223.515,225.298
 Going where?,225.278,226.2
Doing what?,226.24,227.101
"Clara looks at Gary, confused, and he smiles past her, to the crowd.",227.442,231.769
He's basking in the glory of something.,232.13,234.194
"Tommy, the baby's father, looks at Clara's face and takes a step back.",234.254,238.882
"Oh man, did I blow the surprise?",239.302,241.166
I'm so sorry.,241.346,242.528
 You guys are into bullshit drama again.,249.325,251.588
"I just like to sleep deeply these days, that's all.",251.608,254.471
Sasha strides up to her dad and opens her palm.,255.252,257.615
"The ten white sleeping pills stare at him, an act of defiance.",257.655,261.84
I certainly don't need you guys freaking out.,262.521,264.484
Sasha watches her dad flush the pills down the toilet.,264.984,268.088
He should have put them back in the pillbox.,268.489,271.232
" Of course Sash is right, and now his gesture of closure feels stupid.",271.212,274.957
"He puts his hand on her shoulder, but she wiggles away.",275.618,278.182
"So how do you sleep these days, Dad?",278.202,280.746
He turns on CNN.,280.766,282.388
Have you told Margaret yet?,282.749,284.071
Stephen stares at the TV in carnage.,284.091,286.875
You haven't told my stepmother you lost all your money?,287.375,289.759
That your stocks have all tanked?,289.819,291.601
That I might have to drop out of college?,291.942,294.165
" On the TV, the Middle East, India, wars, earthquakes, crashes.",294.145,298.991
Stephen sighs.,299.431,300.332
"There's no need to disturb, Margaret.",300.773,302.515
I'll figure it out.,302.575,303.496
"What do you want for your birthday, he asks.",304.337,306.199
"I want you to start telling the truth, says Sasha.",306.86,309.463
And her voice for the first time is breaking.,309.844,311.966
Your duplicity is so fucking exhausting.,312.487,315.31
 Clara stares at Jeannie.,321.247,322.709
"She must be, what, 25, 26?",322.93,324.392
"So in love with this baby, spitting up goo on her lap.",324.833,328.539
"And then, the moment they found out I was pregnant, Tommy's parents swept in and erased all our debt, all $10,000 in one check, so we could start fresh and not stress.",329.04,339.276
"Amazing, just amazing.",339.797,341.94
I love them.,342.02,342.902
"That's great, Jeannie, Clara musters.",343.523,346.107
 You want to have kids?,346.087,347.069
"asks Jeannie, still pudgy from the birth, so full of life and good cheer.",347.389,352.157
"Not yet, Clara says stiffly.",352.217,354.701
Can't afford it for one.,354.741,356.144
"Jeannie looks up, expecting more of an answer.",357.005,359.289
"I don't really like modern art, installation art.",359.309,362.915
"I don't really get it, admits Jeannie.",363.015,365.479
" Tommy says it's an incredible opportunity for Gary, a chance to create his own site-specific piece downtown in New York.",365.459,372.149
"We'll see, Clara says.",372.81,374.252
She hates Gary for making her the killjoy.,374.312,377.457
She takes out more bottles of wine from the cupboard.,377.497,380.221
People pat her on the back.,380.681,381.983
"You must be so proud of him, Clara.",382.324,384.347
"She doesn't care anymore how much wine she'll serve, at least one bottle per person these days.",384.387,390.015
" Inside the cab, Margaret holds on to her violin case.",396.188,399.112
"All the way down Columbus, okay?",399.672,401.274
"She gives the instructions in a pleasant, stiff voice and pulls out her cell.",401.855,405.64
She cancels her violin lesson.,406.261,408.303
The cab driver's eyes keep checking her out.,409.004,411.207
"She pauses, hits voicemail.",411.868,413.83
Alexandra's accent purrs in her ear.,414.271,416.614
He's waiting for her.,416.674,418.056
"So what's eating you, princess?",418.857,420.118
asks the cab driver.,420.279,421.42
 He's Sikh.,421.754,422.455
His turban blocks her view of the asphalt.,422.935,425.097
"Whatever it is, tell your husband.",425.657,427.599
Don't keep the stuff in.,427.839,428.9
That's what gives people cancer.,428.96,430.582
Alexander's name vibrates on her phone.,430.642,433.845
Marga texts him instead.,434.245,435.946
I'm running a few minutes late.,436.347,437.628
The eyes of the cab driver are still there in the mirror.,438.289,440.631
"Do you have children, princess?",440.691,442.953
She shakes her head no without thinking.,443.593,445.335
"And then she's terrified by what she's done, denying Sasha's existence.",445.375,450.259
 but it's too late to undo it.,450.239,451.722
"You look like someone who should, says the cab driver, and is quiet the rest of the way.",452.464,456.553
"She pays with a twenty as they pull by the fountain and hates herself because, as if to prove him right, she overtips.",456.593,464.67
" No art residencies for us, Jeannie laughs and nods at the gurgling boy on her lap.",471.232,475.719
"Tommy struts in, dangling his scotch by his crotch.",476.119,479.224
"He holds a cracker piled with overripe brie and jelly, shoves it in his wife's mouth.",479.724,485.172
She thankfully chews like a chipmunk.,485.593,488.397
 His black faded t-shirt walks towards the kitchen.,488.377,490.982
"I'm an existentialist fatalist, it boasts.",491.043,493.929
Then he ducks.,494.249,494.951
The congratulations sign still hits him on the back.,495.312,498.017
"One more, Tommy, please.",498.598,500.342
"She's never losing the baby weight that way, Clara thinks.",500.402,504.13
But who the fuck cares?,504.591,505.733
She's young.,505.774,506.976
 Clara looks at the baby who's drooling over his hands and walks out of the room.,506.956,510.84
"How could you do this to me, Clary hisses at Gary.",510.88,513.783
When did you find out about New York?,514.144,515.866
When did you even apply?,515.886,517.287
Anger and humiliation are drowning her breath and probably a touch too much wine.,517.327,522.373
But Gary is giddy and thrilled and sees nothing wrong with their lives.,522.413,527.098
"Baby, be proud, he laughs.",527.558,529.641
It's just for a year.,529.821,530.862
We'll work it out.,530.922,531.863
"And what is so sad, he really believes this.",532.324,535.427
 Alexander and Margaret walk down Broadway.,541.668,543.912
Margaret feels beautiful.,544.373,545.535
I quit my Wall Street job three months ago.,545.555,548.299
I'm taking violin lessons.,548.359,550.002
"For fun, she adds.",550.383,551.845
Alexander doesn't respond.,552.467,553.909
And Stephen took early retirement.,554.45,556.093
He did very well with investments.,556.473,558.597
" She can hear the pride in her voice, and she stops.",558.863,561.85
"Praising your private life to a lover, even a former lover, feels wrong.",561.87,565.599
But she's doing it.,565.98,567.002
Stephen's a therapist now.,567.864,569.167
Alexander laughs.,569.207,571.172
An ex-banker who listens to people's pain for a hobby.,571.673,574.78
 I thought you wanted a kid.,575.182,576.464
Isn't that why you married?,576.484,577.746
She's quiet for a second.,578.487,579.709
Sasha's been a bit of a handful.,580.33,582.814
"When she says it, it feels lame.",583.595,585.258
"She took a year off, did some great journalism in West Africa.",585.839,589.084
But after she came back... Alexander stops in front of a storefront.,589.384,593.611
He's not paying attention.,593.691,594.913
Margaret braces herself.,595.514,597.477
 Why did you call me?,597.457,598.479
she asks.,598.799,599.36
"He turns, smiles at her.",599.941,601.924
"She's scared to say more, and somehow she's also excited.",602.485,606.391
Margaret's phone vibrates in her purse.,607.113,609.236
"She knows it's Stephen, and she doesn't look.",609.897,613.002
" I don't want to go back to New York, Clara says quietly.",619.715,623.038
The dishes from last night are still in the sink.,623.058,625.661
Gary has a meeting with his advisors to discuss the internship.,626.061,630.025
"Of course he's late, and now the dishes won't be done until this evening.",630.045,633.448
"Crusted chili, soap, bubbles, scrub.",633.868,636.911
"She's shopped and cooked and served, and now dishes again.",637.292,640.074
"I'll do them later, Clara, don't fuss, Gary says, as he flips over Tupperware, newspapers looking.",640.134,647.241
 You've seen my wallet?,647.221,648.524
"How long is this internship, Gary?",649.045,650.789
September to June?,651.471,652.473
Without getting paid?,653.215,654.477
I can't afford to float this whole place by myself.,654.497,657.665
Gary heads to the door.,658.306,659.509
"I'm sure you can be a journalist in New York, too.",660.03,662.355
"But she just signed her contract here, and he knows it.",663.077,666.765
" We should have talked this move through before you applied, he laughs.",666.745,670.57
You would have talked me out of it.,670.871,672.192
"For a moment, he looks like a boy, getting caught and standing up in defiance, almost charming, but he's 35.",672.893,679.703
"What's good for me, Clara, is also good for us.",680.264,683.168
That certainly used to be true.,683.989,685.511
Is it now?,685.571,687.133
 Alexander pays for their hot dogs with crumpled up dollar bills he pulls out of his pocket.,693.172,697.562
New York is the best.,698.103,699.185
I'm so glad to be back.,699.226,700.468
The last eight years have been good to him.,700.99,702.774
He still has a cat in his step.,703.154,705.64
"My new apartment looks great, Maggie, he says.",705.66,707.985
You'll see.,708.366,708.867
I'll bet you'll want to move in.,708.927,711.012
 Is this a come online?,710.992,712.233
She catches a glimpse of herself in a window and is suddenly aware she should have colored her hair.,712.694,717.359
"New York is very glad you're back, she says.",718.32,720.322
The hot dog mustard drips on her blouse.,720.922,722.984
"Alexander clears it, licks his finger and smiles.",723.565,726.308
His eyes land on hers as she waits for his words.,726.969,729.731
"I need you to connect me with your former colleagues on Wall Street, he says.",730.572,734.016
We're working on a major piece on international corruption.,734.636,737.199
It's Pulitzer worthy.,737.519,739.041
 Margaret is so aware of her aging neck.,739.021,741.665
That's why he called.,742.106,743.128
A little networking opportunity.,743.388,745.051
That's what this meeting is.,745.231,746.553
She touches her neck.,746.613,748.977
She wants to protect herself.,748.997,750.239
She wants to hide.,750.399,751.321
Alexander hands Margaret his card.,752.182,753.985
"Have Sasha call me, he says.",754.285,755.728
