text,start,end
 She took a deep breath and tried to calm down.,21.192,24.395
"The situation seemed too good, and after she spent most of the last week's worrying, she knew she could enjoy the moment.",24.415,32.984
She looked at her reflection in the mirror and started laughing uncontrollably.,34.285,38.029
"That evening, at her biggest moment of triumph, she did the expected, calling her mother to brag.",39.75,46.677
" In general, conversations with her mother resembled an intense and unbelievably optimistic lecture about all the good things she had accomplished in her life, starting from how she managed to slide from her mother's womb up to the way she had reached the finals in American Idol.",48.108,64.638
"To be honest, it wasn't far from the truth.",66.622,69.627
 Her mother had gone through only two hours of relaxed labor.,69.843,73.007
"She could imagine, though she never actually tried, it could have gone worse.",73.548,78.013
"But to this day, every time she looked at her mom's belly, she felt that it was a safe haven that truly felt nice and warm.",79.455,86.824
"As for Idle, it wasn't that simple, as nothing in life ever is.",88.946,93.572
" She did pick a great song, and well, she did take it for granted, although it was better than anything she could ever hope for, and she could go on and on and on about all the things that worked out.",93.923,106.084
But it was beside the point.,107.025,108.147
"She learned her lesson, or so she told everyone, not understanding what the lesson was and how the hell was she supposed to learn it.",109.509,117.062
" Her mom recognized her elated mood and said to her enthusiastically, I'm so proud of you, Rachel.",118.51,124.8
Listen to me.,124.86,125.882
"This might sound a bit obnoxious, but have you forgone the idea of seeing a psychic about your stage fright?",126.362,131.891
"Wow, mom, that was just a fleeting idea.",133.333,136.098
I'm not that desperate.,136.138,137.66
"Bambi, I know you aren't.",138.602,140.124
"She sometimes hated her mom for her random comments, but she had a point.",141.526,145.733
" Sure, Mom, I'm done with that, she said hesitantly as she hung up and thought to herself, what do I have to lose?",146.675,154.272
She woke up late the next morning and calmly scanned the newspaper for the combination of best and nearest psychic.,156.617,163.873
" Before long, she understood that, knowing nothing about the subject, it was hard to figure out which psychic was the best.",164.123,170.529
She would have to settle for the nearest one she could find.,171.27,173.672
"Hermione the Great, pedicurist and fortune teller, money back guaranteed.",174.773,179.338
"The combination was kind of intriguing, and just the thought of Harry Potter, which was her all-time favorite book by far, made the choice even more exciting.",179.398,188.587
A sweet voice answered her call.,189.908,191.97
" It's your lucky day, Ms. Monroe.",192.136,193.999
Somehow a fake name felt sexier.,194.86,196.623
"I have a place at 5.30 p.m. today, but it's going to be rainy, so be sure to bring an umbrella.",197.284,203.232
"She arrived at Hermione's clinic at 5.36, and Hermione, who to her delight was a surprisingly beautiful magician, welcomed her in.",204.955,213.608
"I love Tuesdays, she said.",214.509,216.532
"For some reason, everyone seems to be happy.",216.592,220.017
 I know what you mean.,221.144,221.925
"I used to be in the phone book industry, Rachel replied, feeling that was a satisfactory response.",222.426,227.333
"So, are you interested in pedicure session, or are you just here for fortune telling?",228.335,233.202
Hermione asked.,233.622,234.504
Just the fortune telling.,235.345,236.367
"My toenails seem to be just glowing these days, thank you, Rachel said proudly.",236.687,240.473
"Sure, darling, Hermione replied and grinned.",241.274,243.878
"What seems to be bothering you, Ms. Monroe?",245.72,248.164
" It's Simon, the meanest judge in American Idol.",249.022,251.946
I can't stop thinking about him.,252.527,253.809
"I am supposed to participate in the final, but I am afraid to panic.",254.75,258.555
I'm absolutely obsessed with him.,259.477,261.019
"I dream about him constantly, and I imagine his voice in almost every man I hear.",261.76,266.887
"To be honest, you are the first person I've confided with.",266.927,270.873
"Do you like vodka, Ms. Monroe?",272.375,274.658
" Rachel didn't understand the relevance of the question, but she replied nevertheless, I'm not crazy about it, but I drink a sip now and then.",275.853,283.127
"Just keep your eyes on the vodka bottle, Hermione said, as she started to gently caress a tiny vodka bottle which was standing on the table.",283.187,292.384
Aren't you supposed to do that with a crystal ball?,293.566,295.65
Rachel asked doubtfully.,296.312,297.574
" Put your trust in Hermione and everything will be just fine.""",298.685,302.529
She took a deep breath and tried not to laugh.,303.57,305.933
The next thing she remembered was looking around and feeling like she could really use a good pedicure session.,307.554,313.14
"When she left Hermione's clinic an hour later, she felt worse than she had for ages.",313.981,318.646
It was like a nightmare.,319.667,320.628
Her face looked pale and she had severe pain in her throat.,321.389,325.333
" As she strolled down the street, she heard a man that sounded exactly like Simon.",326.208,330.514
"And after another second, she realized that she was panicking.",331.295,334.54
"Feeling stressed, she stopped to buy a vodka martini and continued walking home heavy-hearted.",335.681,341.209
"As days went by, she noticed that she was thinking about Simon more than ever.",342.511,346.717
She was completely terrified of meeting Simon.,347.438,349.761
She called her mom and easily persuaded her to come with her to the finals the next day.,350.923,356.13
" When she arrived at the studios, Simon was staring at his feet.",356.397,359.6
"How are you doing, Simon?",360.961,362.122
"she asked, almost losing control over her voice for a moment.",362.443,365.846
I am doing great.,367.287,368.088
How are you these days?,368.489,369.51
"Getting by, she answered, actually thinking about the bottle that she was hiding.",370.731,374.795
I have to go to the dressing room.,375.996,377.457
Do you need anything?,377.737,378.698
he inquired impatiently.,379.119,380.4
"No, I'm fine.",381.221,382.142
"I was just planning to work on the routine, she replied.",382.402,385.645
" By the way, do you have a vodka martini on you by any chance?",385.928,389.051
What?,389.712,389.932
"No, he answered, looking at her blamefully.",390.653,393.576
Rachel felt like a little girl.,394.697,396.079
"I'm sorry, I'll be back in a jiffy, she said as she ran to find a hidden spot.",397.08,401.404
"On her way to the stage, while licking what was left of her drink, she thought to herself, why didn't I go to a regular psychologist first?",402.425,410.334
I must never admit this to mom.,411.335,413.337
 She entered the stage with a blank stare in her eyes.,414.11,416.679
"I have to see someone about my new focus problem as soon as possible, she thought, as she started vomiting on her high-heel shoes.",417.262,424.187
