0.067; If anything, the town looked better than ever.
0.117; The only thing that seemed strange to him was the fact that none of the usual crowd was on the bus.
0.105; Guy Burkhardt got off in front of the gigantic Contro Chemical building, took the elevator to the 98th floor where he had worked in the accounting department for 12 years.
0.124; Of course not.
0.1; Well, the answer to your problems is a feckle freezer.
0.098; He couldn't shake the thought out of his mind.
0.115; At exactly midnight, Guy Burkhardt lapsed into a sudden, deep sleep.
0.138; And the following morning, he woke up screaming.
0.124; Well, of course I did.
0.181; Guy Burkhart got up, dressed, ate breakfast, and took the usual bus to work.
0.115; They were exactly as he suspected.
0.309; All right, now listen, Henry.
0.254; Well, what is it you want?
0.375; Listen, tomorrow morning... when I get off the bus.
0.149; Would you mind, Mr. Burkhardt, if I told you that for months now I've wanted to, well, just comfort you?
0.194; Oh, that's a pretty name.
0.25; Something definitely peculiar about what was happening.
0.18; Supper will be ready in a minute, so don't start fooling around with that old boat hull you've been building.
0.087; And here on the wall.
0.352; All right, save it for me.
0.138; The following morning, Guy Burkhardt woke up screaming.
0.196; Nothing, never mind.
0.254; I don't want to miss my bus.
0.213; Get off at the next corner and follow me.
0.135; Make sure you aren't followed.
0.184; Look, Burkhart, peculiar things have been happening to you, right?
0.143; Somehow, when it happened, they missed us.
0.305; This just doesn't make any sense to me.
0.114; Henry, why don't we tell the police?
0.333; Because we can't trust them.
0.157; They've got a tunnel right under the whole town.
0.097; Well, if we knew what those robots were working on, we could go to the authorities.
0.199; So far, so good.
0.375; Listen to this.
0.157; Indications are that an extension of this approach would influence at least 70% nationwide.
0.088; This should be abandoned and a new series of high persuasion personal elements introduced.
0.116; Hypnosis, drugs, maybe some kind of array or something.
0.197; Suppose one man learned how to influence people 100%.
0.093; Good Lord, it's Dorjan, the head of the Research Institute.
0.127; Designed to look like Dorchin.
0.033; You and everyone else in this town were killed by a premature atomic blast at the Contro chemical plant.
0.112; We stored them in electrochemical batteries till we had a chance to rebuild the cities and begin our tests.
0.177; Of course, we didn't rebuild everything exactly.
0.201; I took your brain circuits and had them reduced.
0.06666666666666667
