text,start,end
 This is a story that I wrote called The Man Who Forgot Ray Bradbury.,0.841,8.731
And I wrote it as a birthday present for Ray on his 91st birthday.,9.612,15.339
It begins like this.,17.422,18.303
I am forgetting things which scares me.,21.467,24.711
"I am losing words, although I'm not losing concepts.",26.453,29.937
 I hope that I'm not losing concepts.,30.271,32.454
"If I am losing concepts, I'm not aware of it.",33.436,35.699
"If I am losing concepts, how would I know?",35.94,37.682
"Which is funny, because my memory was always so good.",37.722,42.209
Everything was in there.,43.411,44.272
Sometimes my memory was so good that I even thought that I could remember things I didn't know yet.,44.793,49.8
Remembering forward.,51.002,51.904
"I don't think there's a word for that, is there?",53.826,55.869
Remembering things that haven't happened yet.,56.551,58.894
" I don't have that feeling I get when I go looking in my head for a word that isn't there, as if someone must have come and taken it in the night.",59.144,69.016
"When I was a young man, I lived in a big shared house.",69.036,72.54
I was a student then.,73.902,74.903
"We had our own shelves in the kitchen, neatly marked with our names, and our own shelves in the fridge, upon which we kept our own eggs, cheese, yogurt, milk.",75.844,85.236
 I was always punctilious about using only my own provisions.,86.245,90.733
"Others were not so... Oh, there.",90.753,94.7
I lost a word.,95.862,96.563
One that would mean careful to obey the rules.,98.026,101.051
The other people in the house were not so.,102.073,105.519
"I would go to the fridge, but my eggs would have vanished.",106.761,109.806
" I'm thinking of a sky filled with spaceships, so many of them that they seem like a plague of locusts, silver against the luminous mauve of the night.",111.794,120.166
Things would go missing from my room back then as well.,121.588,123.811
Boots.,124.892,125.273
I remember my boots going.,126.515,127.796
"Or being gone, I should say, as I did not ever actually catch them in the act of leaving.",128.918,134.726
Boots do not just go.,136.769,138.932
 Somebody went them.,140.161,141.843
Just like my big dictionary.,147.41,148.692
"Same house, same time period.",149.833,151.716
I went to the small bookshelf beside my bed.,152.136,154.339
Everything was by my bed.,154.379,155.821
"It was my room, but it was not much larger than a cupboard with a bed in it.",155.841,159.846
"I went to the shelf, and the dictionary was gone, just a dictionary-sized hole in my shelf to show where my dictionary wasn't.",160.808,168.177
 All the words in the book they came in were gone.,169.777,171.98
"Over the next month, they also took my radio, a can of shaving foam, a pad of notepaper, and a box of pencils.",173.201,180.21
And my yogurt.,181.371,184.094
"And I discovered, during a power cut, my candles.",184.114,187.598
Now I'm thinking of a boy with new tennis shoes who believes he can run forever.,189.821,193.606
"No, that's not giving it to me.",194.387,195.648
A dry town in which it rained forever.,196.569,198.872
 A road through the desert on which good people see a mirage.,199.055,201.941
A dinosaur that is a movie producer.,202.823,204.546
The mirage was the pleasure dome of Kublai Khan.,205.288,207.833
No.,208.995,211.059
Sometimes.,211.08,212.322
" When the words go away, I can find them by creeping up on them from another direction.",212.42,216.849
"Say I go and look for a word, I'm discussing the inhabitants of the planet Mars, say, and I realize that the word for them has gone.",217.329,224.163
I might also realize that the missing word occurs in a sentence or a title.,224.824,229.072
The Chronicles.,229.814,232.639
" My favorite, if that does not give it to me, I circle the idea, little green men, I think, or tall, dark-skinned, gentle, dark they were and golden-eyed, and suddenly the word Martians is waiting for me, like a friend or a lover at the end of a long day.",233.615,251.742
 I left that house when my radio went.,253.274,255.117
"It was too wearing, the slow disappearance of the things I had thought so safely mine, item by item, thing by thing, object by object, word by word.",255.858,266.996
"When I was 12, I was told a story by an old man that I've never forgotten.",269.5,275.67
" A poor man found himself in a forest as night fell, and he had no prayer book to say his evening prayers.",277.591,284.84
"So he said, God, who knows all things, I have no prayer book, and I do not know any prayers by heart, but you know all the prayers.",285.781,295.733
You are God.,297.115,297.675
So this is what I'm going to do.,299.297,300.659
"I'm going to say the alphabet, and I will let you put the words together.",301.72,305.505
 There are things missing from my mind and it scares me.,309.063,311.546
Icarus.,312.808,313.269
It's not as if I've forgotten all names.,313.93,315.492
I remember Icarus.,315.572,316.513
He flew too close to the sun.,316.613,318.015
"In the stories, though, it's worth it.",318.436,319.858
"Always worth it to have tried, even if you fail, even if you fall like a meteor forever.",320.058,324.064
"Better to have flamed in the darkness, to have inspired others to have lived than to have sat in the darkness cursing the people who borrowed but did not return your candle.",324.404,332.936
"I have lost people, though.",336.881,338.243
 It's strange when it happens.,339.455,341.457
"I don't actually lose them, not in the way one loses one's parents, either as a small child when you think you're holding your mother's hand in a crowd and then you look up and it's not your mother, or later when you have to find the words to describe them at a funeral service or a memorial or when you're scattering ashes on a garden of flowers or into the sea.",341.477,362.299
I sometimes imagine I would like my ashes to be scattered in a library.,364.121,369.006
 But then the librarians would just have to come in early the next morning to sweep them up again before the people got there.,370.842,375.646
"I would like my ashes scattered in a library or possibly a fun fair, a 1930s fun fair where you ride the black, the black, the, I've lost the word, carousel, roller coaster, the thing you ride and you become young again, the Ferris wheel, yes.",377.428,397.727
" There is another carnival that comes to town as well, bringing evil.",398.264,401.067
"By the pricking of my thumbs, Shakespeare.",401.628,405.953
"I remember Shakespeare, and I remember his name, and who he was, and what he wrote.",407.335,412.0
He's safe for now.,413.262,414.563
Perhaps there are people who forget Shakespeare.,415.744,417.967
They would have to talk about the man who wrote To Be or Not To Be.,418.668,423.073
" No, not the film starring Jack Benny, whose real name was Benjamin Kubelski, who was raised in Waukegan, Illinois, an hour or so outside Chicago.",424.1,433.374
"Waukegan, Illinois was later immortalized as Greentown, Illinois, in a series of stories and books by an American author who left Waukegan and went to live in Los Angeles.",434.296,444.131
"I mean, of course, the man I'm thinking of.",444.672,447.015
I can see him in my head when I close my eyes.,448.918,451.322
 I used to look at his photographs on the back of the books.,452.618,455.027
"He looked mild, and he looked wise, and he looked kind.",455.89,460.165
" He wrote a story about Poe, to stop Poe being forgotten, about a future where they burn books and they forget them.",461.174,466.74
"And in the story, we are on Mars, although we might as well be in Waukegan or Los Angeles, as critics, as those who would repress or forget books, as those who would take the words, all the words, dictionaries and radios full of words, as those people are walked through a house and murdered one by one by a Rangutang, by Pitt and Pendulum, for the love of God, Montresor.",467.08,486.159
Poe.,488.321,488.561
I know Poe.,489.803,491.164
