text,start,end
 Thank you.,3.17,18.293
" So I'm 5,000 feet above Albany on just a perfect day, beautiful blue sky, not a cloud in the sky.",25.732,31.908
I can see the horizon in every direction.,31.948,34.254
"When the girl that just pushed me out of the airplane screams, wait, wait, you're shoot.",34.996,39.488
 It's... And she's gone with the plane.,45.408,50.657
"I don't think the sentence ends, you know, functioning properly, have a great jump.",51.238,56.207
I think it ends worse.,57.71,58.932
"I don't know a lot about skydiving, but I would think that, you know, a working shoot lends to a better jump, especially towards the end.",59.734,68.85
" What happened was I was in my 40s, suddenly, surprisingly.",70.096,73.019
And I didn't want to be one of those kind of midlife crisis guys who runs out and gets a convertible.,73.84,80.107
"Besides, who needs two convertibles?",81.109,82.75
"And I, you know, I had already gotten divorced, so that was already checked off.",84.953,90.459
"But I needed to do something, so I went to, like, cliche number three, and I drive upstate to this skydiving academy.",92.341,98.989
" near Albany for my meeting with Annette, the school's bare-bellied, khaki-shorted, tan-shouldered senior instructor.",99.847,108.979
She was 19 years old.,108.999,109.9
"She was like, I could have folded her up and put her in my pocket.",113.344,116.748
She looked like a lowercase I with a smiley face dot.,116.788,119.712
" for a head, which made me feel like a capital O standing next to her.",120.535,123.82
"But she was a professional, so the first thing she did was shake my hand, but then she put her arm through mine and squeezed it a little bit, and said, this is gonna be awesome.",124.701,132.231
"And then she led me into the office, which looked like I had been kind of delivered on the back of a flatbed truck, and like they dropped it on its corner when they unloaded it, and go inside the office, and the first thing she says is that I have pretty eyes.",133.914,145.97
And then she hands me the liability waiver.,147.713,150.036
" It was an extremely Darwinian moment for me, because what I should have done was drive away and do something else more well adapted to doing, like driving.",150.016,161.761
But I signed it because she told me I had pretty eyes.,162.482,168.615
" But I wanted her to know that I was more than just a pair of pretty eyes, that I, you know, had the right stuff.",168.595,173.482
"So I sign it, and then she takes me back outside, and while the pilot and, I don't know, his homeroom teacher are playing hacky sack out on the runway, she says, we're going to start with the landing, because that's the important part.",173.743,190.708
"And then she pokes me in the ribs, and she says, you know, it's not the fall that gets you, it's a sudden stop.",191.269,195.876
"And she giggles, because it's a joke.",195.936,198.079
 Not the funniest joke I've ever heard.,198.059,199.922
She kicks over a blue plastic milk crate about a foot tall.,201.144,204.71
She tells me to hop up.,204.751,205.953
And she tells me to jump off of it.,206.574,208.477
And I jump off of it.,208.818,209.679
And my feet raise these two little kind of dust clouds like Neil Armstrong.,209.939,213.666
And she gives me the thumbs up like I've got the right stuff.,214.447,217.232
" And then she says, I'm going to teach you how to do a drop and roll, which is a maneuver you do when you land.",218.528,224.175
"Basically, it's what it sounds like.",224.996,225.997
You drop and you roll.,226.017,226.778
Same thing you would do if you were on fire.,226.798,228.239
And she demonstrates it for me like a Romanian gymnast.,229.12,234.006
"And she says, OK, you try it now.",234.026,235.988
And she helps me back up into the box.,236.189,237.931
"She says, just hop on the bus, Gus.",237.951,240.874
" And I think, nice, we have something in common.",242.137,244.761
Her parents or her grandparents were fans of Paul Simon.,245.181,250.188
"So I get up on the box, hold onto her shoulder to steady myself, and because I just wanted to hold onto her shoulder, and I say, I am a rock, and I drop like a stone.",253.272,264.448
 And she just giggles adorably and helps me up.,266.723,271.269
"And as she's picking the gravel out of the palms of my hands, she says, that's pretty much all there is to it.",271.649,276.816
Which would be true if she were teaching me to jump off a milk crate.,278.519,281.182
I could have gotten my diploma and just gone home.,283.165,285.728
" For the next two hours, we kind of gradually raise the diving platform, the practice platform from this milk crate to a kitchen chair to an aluminum kitchen dinette table to a painter's ladder to 5,000 feet above sea level.",286.079,300.882
" And up in the plane, she shows me this canvas strap, which is called the static line.",301.486,305.652
It's attached to the plane and it's attached to my chute.,305.672,307.595
"It will open my chute automatically when I jump out, so I won't have to worry about anything.",308.156,311.982
And she tugs on it a couple of times to demonstrate that it can withstand the full upper body strength of a teenage girl.,312.803,319.073
" And then she puts one hand on either of my cheeks, leans in close, stares in through the fog and my orange goggles that I'm wearing, and says, listen, when I say go, you just go, don't think.",322.698,334.074
"She says, if you're getting cold feet, if you need a little help, don't be embarrassed.",335.116,339.923
Everybody gets like that.,340.283,341.505
I'll just give you a little shove.,342.046,343.488
"And then she says, don't worry, I'll be gentle.",344.689,348.655
" So between the altitude and the pillow talk, I am basically in a lovesick trance, and I'll do anything for her.",350.491,359.305
I will shoot myself if I think it makes me look brave for her.,359.425,364.553
"But when I hop out onto the wing and I look down at all these pointy steeples and pine trees, I get a little cold feet.",364.573,372.285
I have some second thoughts.,372.305,373.227
"And when she yells,",373.247,374.068
" go, I say, up, yep, yep, but she doesn't hear me, and she actually says, Geronimo, and she gives me a shove, and I'm gone.",374.048,381.056
"And I look up, and I just see her terrified eyes, and that's when I hear her say, wait, wait, you're shoot, it's.",381.096,387.784
"And really, like, the pathetic inadequacy of a two-hour skydiving lesson hits home right then.",390.106,396.093
"I mean, it took me longer than that to learn how to knit.",398.736,401.119
" So I'm heading for the power lines down below me and like reflexing, you know, just reflexively kind of squeezing my legs together so that I won't die, you know, sliced up the middle.",404.153,412.346
Like a couple of flounder fillets.,413.147,415.971
And I'm just like praying my life doesn't flash before my eyes and ruin the last couple of minutes I have.,416.732,422.922
" when suddenly I feel a jolt and I'm yanked around and this big, white, fluffy, beautiful canopy opens above me and I'm floating to earth in dead silence.",433.617,445.275
"It is really quiet, so I can really hear my heart pounding.",445.375,450.242
" When I get down and I drag all my gear, the helmet and the straps and the shoes through the onion field back over to the office, Annette is already there waiting for me and she's holding this plastic cup of the complimentary sparkling wine they talked about in the brochure and she's just beaming.",451.859,468.179
"And I walk up to her and I say, what the fuck?",468.199,471.723
"You know, was that...",474.126,475.588
" And she giggles, and she says, you know, you seem like a cool guy, so I wanted you to have a really awesome jump.",476.885,486.286
So the little parachute malfunction thing was to spike your adrenaline at the last minute.,486.306,491.758
That's what I said.,495.766,496.969
" And so I'm like staring at her, trying to think of some language this chick might, you know, understand.",499.21,504.903
"You know, do you have any idea how dangerous, how terrifying, how illegal that probably was?",506.507,511.178
"And she said, wait, wait, hey, you did it, right?",511.198,514.626
Before it's too late.,515.307,516.51
 by which she meant at your age.,520.27,522.272
"So I'm trying to think, you know, am I going to do this with a knife or just strangle her or beat her to death?",523.634,529.521
"When my heart starts kind of slowing down and what I just did sort of starts sinking in, you know, I just like fell out a mile out of the sky on purpose and without a shoot for most of it as far as I'm concerned.",530.542,543.417
And I dropped and I rolled and I survived.,543.838,547.662
" And I think about the little joke that she told me earlier, how it's not the fall that gets you as a sudden stop.",547.642,552.31
"And I think, you know, maybe she's right.",552.37,554.093
I'm not going to stop.,554.574,555.315
That's what kills you.,555.415,556.156
"And so I lock eyes with her, and I glare at her, and I hope I'm cute when I'm angry.",557.078,562.146
And I sign up for another lesson.,562.186,565.852
And I drive home with the top down.,568.697,570.059
Thank you.,571.241,571.742
