0.133; To our doctor of philosophy, amazing art prodigy, to Gary Loewesen.
0.158; I'll be home late tonight, she adds.
0.095; I just like to sleep deeply these days, that's all.
0.583; That your stocks have all tanked?
0.241; Alexander's name vibrates on her phone.
0.241; Margaret's phone vibrates in her purse.
0.182; She catches a glimpse of herself in a window and is suddenly aware she should have colored her hair.
0.043; He sits paralyzed under the light.
0.162; He looks at his phone.
0.241; When the phone rings, Clara's throwing up.
0.064; Always check that before she calls back.
0.074; He calls to the back.
0.156; She chooses one in shades of purple and green.
0.256; Thirty-six thousand dollars.
0.043; She turns on a light, terrified of being alone, defeated, tormented, pacing, then hating herself more than him.
0.241; Her phone rings, a call from her mom.
0.176; Tommy's drunk and so angry his spit lands on Clara's black dress.
0.108; His eyes are half closed.
0.125; His shadow lies still on the floor.
0.241; CPR as she turns on her phone.
0.111; You've bought your ticket, she says quietly.
0.08; She compulsively scrolls through her phone up to her mother's text.
0.056; Two months later, October 2001, New York City.
0.153; They walk the city looking for surfaces to plaster their plea.
0.239; Any information, please call.
0.125; Excuse me, miss, the employees at reception surround her with an afterglow of pity.
0.109; You go back to L.A. as you planned.
0.12; Gary's mother is crying on the phone.
0.186; The phone rings right back.
0.317; Margaret's nail clippings and hair, they're good for your DNA too.
0.022; Clara watches out of the window as morning light rises over Manhattan.
0.13333333333333333
