0.11; Holy smokes, maybe there really was some sort of explosion at the start of the streaming.
0.155; Burkhardt, sorry, I don't believe we've met.
0.204; Oh, that's probably it.
0.165; And once again, he was puzzled when he noticed none of the old crowd on the bus.
0.23; For God's sake, don't talk.
0.23; I can't talk.
0.414; Let me have a cigarette, will you?
0.174; Let's stop playing games.
0.206; Oh, you really believe that stuff?
0.157; Well, it's true.
0.163; I wouldn't say this, Mr. Burkhardt, except that, well, I've gotten to know you pretty well, and I've grown to admire you so much.
0.13; You see, I do have your welfare at heart.
0.199; That's why when I see you smoking Kelvins, and I know Marlins are so much better, won't you let me buy some of them for you, huh?
0.22; Here, bring me a carton.
0.031; The strange behavior of his secretary, Miss Horne.
0.414; Let me put the flashlight on it.
0.269; It's supposed to be cement.
0.072; He dragged himself into the kitchen where his wife Mary was preparing breakfast and discovered it was still June 15th.
0.099; Start from the beginning, Henry.
0.095; Your house seems changed.
0.073; I think it's some sort of mass hypnosis or something.
0.414; Let me see.
0.095; That's how I discovered it.
0.156; There he removed a cut-out piece of metallic substance and they crawled into a dimly lighted tunnel.
0.149; Have you gotten a chance to look at the data on those screens?
0.208; No. I've been afraid to go in.
0.172; Let's take a look at that data.
0.258; Here, let's look at this screen.
0.124; Henry, do you know what this means?
0.124; Do you know what that means, Henry?
0.12; This whole community is one big test tube for Dorchen's propaganda research.
0.207; Let our maintenance crew adjust you properly so you don't remember from one experiment to the next.
0.081; Maybe his heart is still beating.
0.259; Come on, let's get out of here.
0.414; Now, why not be reasonable and let the maintenance crews adjust you?
0.158; That would be quite impossible.
0.157; It's quite true.
0.157; No, it isn't true.
0.115; Do you think I believe a fantastic tale like that?
0.206; No, I don't believe it.
0.176; The great looming figure moved closer.
0.10964147286821706
