0.429; The baby starts crying, and everyone laughs.
0.227; The baby's father steps up.
0.205; You haven't told my stepmother you lost all your money?
0.214; So in love with this baby, spitting up goo on her lap.
0.102; All the way down Columbus, okay?
0.179; The cab driver's eyes keep checking her out.
0.357; asks the cab driver.
0.179; The eyes of the cab driver are still there in the mirror.
0.088; You look like someone who should, says the cab driver, and is quiet the rest of the way.
0.121; No art residencies for us, Jeannie laughs and nods at the gurgling boy on her lap.
0.23; She's never losing the baby weight that way, Clara thinks.
0.214; Baby, be proud, he laughs.
0.12; I quit my Wall Street job three months ago.
0.261; I'm taking violin lessons.
0.135; But after she came back...
0.119; His eyes land on hers as she waits for his words.
0.083; I need you to connect me with your former colleagues on Wall Street, he says.
0.118; You've got mustard stains all over your blouse.
0.174; Underneath the toilet seat, too.
0.176; You want me to send you some money?
0.126; Gary got a job yet?
0.085; The way her mom says that, it could be ultimate praise or ultimate scorn.
0.093; A staff job is not easy to get.
0.214; I'm really proud of you, baby.
0.135; I'm not ready to throw away the last ten years of my life.
0.276; Can I get you guys water?
0.104; Upset is one thing, she says.
0.135; We came to L.A. because of you, Clara.
0.207; He leans close with my kindness.
0.137; Maybe you'll find a Wall Street man to marry or cheat with.
0.1; You ask your parents for money if you want to go to New York.
0.104; I don't want you to go back to Wall Street, Maggie, says Stephen.
0.207; Stephen nods, pulls Margaret close.
0.091; I really wish we'd been brave.
0.166; What if she kept walking and just ran away?
0.167; The charges are for photographic equipment and new luggage and a ticket, only one ticket, one way to New York, expensive clothes and a fancy hotel in Tribeca.
0.218; You've got to spend money to make money.
0.189; But you're not making any money.
0.118; I got addicted to prescription pills.
0.135; Once in New York, when Gary lost their money in the stock market, he slept in the closet.
0.188; At church, the congregation is numb.
0.073; She saw my bank statement.
0.204; Money comes, money goes, she says.
0.108; The crowd gathers round him.
0.14; He hasn't noticed a thing.
0.206; After the car screeches back in control, Gary says just one line.
0.216; The emergency vehicles, the call to Margaret, it's all a blur.
0.106; I'll get you the Wall Street contacts you need, but you stay away from my kid.
0.167; Our friend's baby has died.
0.016; It's that kind of day.
0.251; The baby has died.
0.358; Three colorful foam tubes land on the Indian bedspread.
0.138; Clara glances at Gary's mom a few steps ahead, scouting out bulletin boards.
0.248; They got money.
0.118; I gotta go, Clara blurts, and she runs.
0.378; He slides over a dirty martini and shrugs off her money.
0.136; He goes to close the door in her face.
0.087; Maybe it's not the best thing to see Sasha today, says Stephen.
0.025; She likes him, the way he asks questions, how he leans in to listen to details.
0.085; This is the way out, she says.
0.118; Across the room, Clara notices this girl dozing over, a volunteer falling asleep on the job.
0.065; You should join EMS, she jokes once again.
0.18; It has started to rain.
0.092; It's not our place to ask.
0.179; The taxi driver locks eyes with her in the mirror.
0.42857142857142855
