text,start,end
 This is the story of my first landlord and my first apartment in New York.,0.824,28.755
 I think I'm going to call it rent.,29.005,30.707
"I first came up here from South Carolina, or North Carolina, like everybody on the stage tonight, back in the early 80s.",34.493,43.144
"And I was living on people's floors, and I was trying to find an apartment.",43.745,46.529
And I don't know if you all remember what it was like to get an apartment in 1981.,47.51,50.314
"Some of you may not, but it required that you sort of commit a crime.",52.137,56.683
 There was all sorts of sort of subleases and various shady documents that had to be mimeographed in like Cuba and then sent back.,56.663,64.024
And there was this thing called key money.,64.064,66.652
Does anybody remember that?,66.812,67.995
Key money.,68.116,68.738
Maybe that's still around.,68.758,69.58
I don't know.,69.6,69.981
" Anyway, a friend of mine called me up and said, I think I've got a place for you.",72.374,76.199
It's in my building.,76.239,77.221
You have to go talk to the superintendent.,77.421,78.923
His name is Bulb.,79.023,79.904
"And I said, OK, well, what do I need to bring?",80.665,84.25
"And he said, you know, basically $550 in an envelope.",84.29,87.054
So I showed up and went into the super's office.,88.596,91.32
And there was Bob.,91.36,92.402
And we started talking.,92.722,95.806
"And I said, well, here's the key money.",95.866,97.188
And I just popped it on the desk.,97.208,98.55
 And I guess I didn't know the protocol of sleazing an apartment in New York.,99.492,103.939
I guess you weren't supposed to put the key money right there in front of the superintendent.,103.979,108.065
I seem to have offended him.,108.105,109.207
"By the way, my friend Kevin, when he warned me about going in there, he said, you know, Bob talks a little differently than other people.",110.108,116.097
So just stay on your toes.,116.398,120.845
So I put the key money on the table.,121.065,122.828
And Bob kind of fixed an eye on me.,123.569,125.692
"He says, let me tell you something, mister.",126.173,127.575
 One of those reporters came in here one time asking me if I would rent an apartment like this.,129.783,135.95
And I could tell he had a device in his lapel.,136.79,139.774
"And I leaned right over in his lapel, and I said, let me tell you something, buster.",140.574,143.898
I rent my apartments to anybody I want to.,143.978,146.06
"And I said it so loud that the guy in the sound truck out front came busting out the back of the car, blood gushing out of his ears, and ran off down the street.",146.581,156.111
" So I kind of looked at Bob and I said, wow, that must have been quite a scream you made there.",158.268,163.214
He kind of looked at me.,167.98,168.821
And then I think I got a lease.,169.782,171.364
I'm not sure.,172.085,172.545
I lived there for 10 years.,172.585,173.506
I think I had a lease.,173.546,174.648
"And Bob and I, Bob was the superintendent for four buildings on West 99th Street.",175.228,180.375
"And over the years, I got to learn just how this guy talked.",181.035,184.9
 It was just the way he described reality.,185.707,189.753
It was all very different than maybe the one we all share here on this time-space continuum.,189.793,195.022
"So for example, one time he was fixing something in the hall, and he just offhandedly told me that he owned five ranches in Brazil, where he was from, and two vineyards in Italy.",195.763,207.802
"I said, wow, Bob.",209.204,211.748
 Why are you fixing my toilet then?,212.656,214.958
"Bob said, well, the stress of the ranches hurt my heart.",215.018,228.19
"And my doctor in Brazil said, grow more flesh to protect the heart.",229.452,236.498
"And Bob, in fact, had grown quite an ample carapace of flesh.",236.518,241.903
 to protect his heart.,243.537,244.578
"He would tell you, in my country, I can kill somebody and get away with it because it's written into the Constitution that you can't prosecute me.",247.461,256.489
"OK. Well, that must be very handy somehow.",258.01,262.074
And then there was my landlord.,266.198,267.779
"The landlord, his name was Alan Stern.",268.0,269.541
He only showed up about once a week.,269.601,271.603
 And he was fairly reasonable.,271.803,273.485
There was a co-op attempt.,273.966,276.93
This was a big thing in the 80s.,276.95,278.051
Everybody thought we were going to get rich.,278.091,279.373
Both the landlords and the tenants all thought we were going to get super rich.,279.413,282.897
"And I cooperated with Alan, and we tried to work this thing out.",282.917,285.861
He was going to co-op the building.,286.722,288.284
He'd make a pile of money.,288.444,289.465
"We'd buy our apartments for cheap and then cash out and make tons of money, and everybody would be happy.",289.526,293.811
" Well, it turns out the city sent an engineer up there, and the report on our building said something like, a column of dust held up by 125 years of paint.",294.871,304.323
That's literally a quote from the engineer's report.,305.925,307.707
"And I sort of knew that, because whenever I went to hammer a nail into the wall to hang a picture, you know that feeling of like, you know, maybe I won't hang that picture.",310.03,318.7
Maybe I'll tape up a poster over that large hole that I've just now made into the wall there.,318.72,322.805
Yeah.,324.147,324.287
 But Ellen and I also had our differences.,326.157,330.946
"The apartment was split between the yuppie scum like myself who had moved in with new jobs and a little bit of money, and then these older Puerto Rican grandmothers who lived in the building who had much lower rents from way back when.",331.086,348.199
" Alan wanted to make more money, so he was not doing anything for the old ladies.",348.685,352.288
"And he was giving us all the services, which was Bob, of course.",352.428,355.511
Bob would come in and fix your toilet and make it worse.,356.792,358.594
"But of course, what Alan didn't understand is that I'm a Southern guy.",358.654,363.058
"And one thing a Southern guy with an eight-year perfect attendance pin from Sunday school does really, really well is old lady management.",363.919,372.807
"So of course,",377.491,378.152
 I knew or got to know every one of these old ladies and became their friend.,378.959,383.923
"And at one point, one of them showed me her apartment.",384.724,387.166
"And I was like, what is your tub doing standing with all this water?",387.226,390.93
Why are your chans not fixed?,391.11,393.112
So I started a rent strike on behalf of these ladies.,393.132,395.934
"And Alan and I had very harsh words, but it was all very gentlemanly.",396.094,400.718
He said he was going to take me to court and sue me because I had nothing to sue him for.,401.399,404.301
"And I said, Alan, we're all going to go to court.",404.362,406.043
This could be all these nice grannies.,406.063,408.325
 And they're going to be complaining.,408.305,409.867
And then you're going to be saying that you do all the services for all of us.,409.947,412.67
We look very different from the grannies.,413.41,414.752
And this is going to be in front of a judge.,415.353,416.514
And so you're going to lose.,417.475,419.016
"And so Alan, it took a while.",422.1,423.441
Alan wasn't a rocket scientist.,423.741,425.223
But Alan figured out that he was in fact going to lose.,425.964,428.046
And everything resolved amicably.,428.226,429.688
"Meanwhile, there was Bob.",432.371,434.633
" Bob, one time, I remember we had these funny lamps in the kitchen, those round fluorescent things.",435.878,441.024
They worked for like five years.,441.204,442.786
And then finally mine went out.,442.826,443.887
They were also in the hall of this building.,444.088,446.13
"And I went to Bob and I said, Bob, you know those funny round lamps in the hall?",446.731,449.694
Mine's burned out.,450.736,451.316
"And I'm just, do I buy those?",451.336,452.778
Or do you have them?,452.898,455.061
I don't even know where to get one of those.,455.161,457.103
"And he goes, let me tell you something, mister.",457.303,460.267
Don't try to steal the lamps in the hall.,461.649,465.413
 I have put a device in there.,466.709,468.171
"If you take the bulb out, it will explode the glass, shoot it in your eyes, and you will be blind.",468.972,474.74
"So I took this to mean that I was to buy the lamp, because I had finally mastered Bob-ness, you know?",474.82,484.192
