text,start,end
 He took a deep breath and tried to calm down.,21.142,24.246
"The situation seemed almost hopeless, and after he spent most of the last week's drinking, he knew he must confront the truth.",24.286,32.997
He looked at his reflection in the mirror and started sobbing uncontrollably.,34.179,38.164
"That evening, at his deepest moment of despair, he did the unthinkable, calling his mother to consult.",39.686,46.795
" In general, advice from his mother resembled a long and gruesomely painful lecture about all the big mistakes he had made in his life, starting from how he fought to stay in his mother's womb up to the way he had ruined the relationship with Emily L'Amour.",48.057,65.155
" To be honest, this wasn't far from the truth.",66.434,68.978
His mother had gone through almost 40 hours of painful labor.,69.84,73.085
"He could imagine, though he never actually tried, it could have gone better.",73.526,77.853
"But to this day, every time he looked at his mom's belly, he felt that it was the only place that truly felt safe and warm.",79.415,86.787
"As for Emily, it wasn't that simple, as nothing in life ever is.",88.89,93.538
" He did mistreat her at times, and well, he did take her for granted, although she was better than anything he could ever hope for, and he could go on and on and on about all the things that went wrong.",93.822,106.021
But it was beside the point.,106.942,108.084
"He learned his lesson, or so he told everyone, never understanding what the lesson was and how the hell was he supposed to learn it.",109.386,116.877
" His mother recognized his regular routine and said to him impatiently, I'm so tired of you, Thomas.",118.392,124.599
Listen to me.,125.22,125.72
"This might sound a bit wacky, but have you considered the idea of seeing a hypnotist about your broken heart?",126.301,131.907
"Oh, Mom, that is just a stupid idea.",133.328,135.971
I'm not that desperate.,136.031,137.533
"Dearest, I hope you aren't.",138.514,139.896
"He sometimes hated his mom for her brutal honesty, but she had a point.",141.437,145.682
" Okay, Mom, I'll look into it, he said mechanically as he hung up and thought to himself, What do I have to lose?",146.658,154.125
He woke up early the next morning and frantically scanned the web for the combination of best and cheapest therapist.,156.488,163.014
"Before long, he understood that, knowing nothing about the subject, it was hard to figure out which therapist was the best.",164.155,170.462
He would have to settle for the cheapest one he could find.,171.162,173.745
" Andre the Giant, chiropractor and hypnosis therapist, money back guaranteed.",174.653,179.117
"The combination was a bit odd, but just the thought of Princess Bride, which was his all-time favorite movie by far, made the choice so much easier.",179.978,188.306
A low voice answered his call.,188.346,191.269
"It's your lucky day, Mr. Smith.",192.19,193.892
Somehow a fake name felt safer.,194.833,196.254
"I have a cancellation for 10.15 a.m. today, but it's going to be chilly, so be sure to wear a scarf.",197.155,203.361
" He arrived at Andre's clinic at 9.56, and Andre, who to his disappointment was a surprisingly short giant, welcomed him in.",204.742,213.411
"I hate Wednesdays, he said.",214.412,216.334
"For some reason, everyone seems to be sick.",216.994,221.138
I know what you mean.,221.158,221.879
"I used to be in the toilet paper industry, Thomas replied, feeling that was an eccentric response.",222.38,227.104
"So, are you interested in chiropractic therapy, or are you here just for hypnosis session?",228.266,233.17
Andre asked.,233.671,234.732
 Just the hypnosis session.,235.201,236.383
"My back seems to be just fine these days, thank you, Thomas said assertively.",236.563,240.51
"Sure, man, Andre replied and coughed.",241.171,243.816
"What seems to be bothering you, Mr. Smith?",245.679,247.622
"It's Emily, the greatest girl in the world.",247.682,251.549
I can't stop thinking about her.,252.511,253.893
"We were supposed to marry in the spring, but I was afraid to commit.",254.674,259.082
 I'm still obsessed with her.,259.366,260.788
"I dream about her constantly, and I imagine her face in almost every woman I see.",261.709,266.755
"To be honest, you are the twentieth therapist I've gone to.",266.775,270.92
"Do you like chocolate, Mr. Smith?",272.281,274.304
"Thomas didn't understand the relevance of the question, but he replied nevertheless, I'm not crazy about it, but I take a bite now and then.",275.826,283.635
" Just keep your eyes on the Milky Way, Andre said, as he started to gently dangle a miniature Milky Way which was tied to a string.",284.138,292.232
Aren't you supposed to do that with a silver watch?,293.555,295.578
Thomas said doubtfully.,296.179,297.301
"Put your trust in Andre, and everything will be just fine.",298.684,302.43
He took a deep breath and tried not to laugh.,303.492,306.197
 The next thing he remembered was waking up and feeling like he could really use a good chiropractic therapy.,307.477,313.205
"When he left Andre's clinic an hour later, he felt better than he had for ages.",313.905,318.492
It was like a miracle.,319.593,320.534
"His back felt great, and he had new hope in his heart.",321.355,324.76
"As he strolled down the street, he spotted a girl that looked exactly like Emily.",326.242,330.547
"But after another second, he realized that he was imagining.",331.248,334.733
" Feeling better, he stopped to buy a Milky Way and continued walking home lighthearted.",335.557,341.104
"As days went by, he noticed that he was dreaming about Emily less than ever.",341.124,346.511
He was finally ready to meet her.,347.272,348.994
He called his ex and eventually persuaded her to meet with him at a bar the next day.,350.837,355.523
"When he arrived at the bar, Emily was looking at her watch.",356.424,359.708
" How are you doing, Emily?",360.903,362.164
"he asked, not losing control of his body for a change.",362.324,365.748
I have been better.,367.229,368.07
How are you these days?,368.45,369.391
"Getting better, he answered, actually believing in the words that he was saying.",370.672,374.636
I have to go to the ladies' room.,375.938,377.239
Do you want anything?,377.659,378.54
she inquired softly.,379.101,380.242
"No, I'm fine.",381.183,382.164
"I was just hoping to talk about our past, he answered.",382.344,384.786
"By the way, do you have a Milky Way on you by any chance?",385.947,388.71
What?,389.711,389.931
" No, she answered, looking at him tenderly.",390.502,393.366
Thomas felt like a confident man.,394.588,396.15
It's fine.,397.031,397.452
"I'll be back in a jiffy, he said, as he leapt to find a vending machine.",397.812,401.257
"On his way to his seat, while swallowing what was left of his chocolate, he smiled to himself.",402.359,407.166
Why didn't I go to that wacky hypnotist earlier?,407.947,410.21
I must never admit this to Mom.,410.27,413.134
 He moved the chair with a big smile on his face.,414.025,416.495
"I have to see Andre about my new weight problem as soon as possible, he thought, as he started tapping on his newly acquired belly.",417.218,424.288
