text,start,end
 So I was a junior in college when I got my first paying job in my field on the radio.,0.233,11.172
This is not an internship.,11.192,13.255
I'm getting a check.,13.936,14.878
It was a country and western radio station.,16.661,18.985
" And my job, though it was only on the weekends, was to play the top country hits of the week each Sunday.",20.787,30.68
"It actually came on an album, pre-recorded.",31.541,34.685
"So I had to take it out of the sleeve and put it on the turntable just so, and put the needle down on side one, caring not to scratch it.",35.666,48.583
 and then let part one play.,49.593,50.955
My moment is coming now.,52.337,53.699
"Yes, all the training, it's coming now.",54.92,56.642
"When side one would end, I had to lift the needle.",57.003,61.109
And here's my moment.,63.672,64.533
"I get to read the weather live for Jefferson City, Missouri.",65.995,69.66
" Then I played commercials, and while the commercials were playing, I had to flip the album, put it back down on the turntable, put the needle back down now on side two, and let part two of the top country hits of the week play.",75.142,92.475
" You know when you're getting a degree in communications or broadcasting, they teach you all kinds of stuff, but they do not teach you how to flip an album in record time before the commercial break ends.",92.978,110.337
My career would eventually bring me here to St. Louis.,111.818,116.303
 It's the largest market I had ever been in.,118.122,121.427
I was excited and I was nervous.,121.447,126.033
And so I am trying to get to know the community.,126.094,130.961
And so I'm going to every fundraiser and every event I can think of.,131.742,135.948
"And after one of those events, I promise you it was actually here at the Sheldon in St. Louis, Missouri, a young man approached me outside on the sidewalk.",136.769,147.825
" He was black, and he said to me, I knew you were black.",147.974,153.582
"Now, keep in mind that I had heard pretty much my whole adult life, you sound white.",158.65,171.208
I'd heard that.,171.649,172.47
"I'd heard, oh, you sound white.",173.151,175.635
 You sound like a white girl.,176.56,177.581
I'd heard that.,177.761,178.582
"But I had never, ever heard, I knew you were black.",179.123,183.828
"So he tells me about this debate, apparently, that had been going on in St. Louis when I first started here.",187.292,196.483
"People told him, oh no, no, she's white, man.",197.844,200.727
She's white.,200.788,201.228
She sounds white.,201.248,201.969
She's white.,202.009,202.99
" And he convinced, having never met me, that I was black.",203.493,208.584
"Well, as it turns out, he was right.",209.786,211.971
I am black.,215.157,216.861
 But this whole debate sort of messed with my head a little bit.,218.09,222.314
"I thought, here I am, major market, fantastic job of my dreams, and people still don't know who I am, all of who I am?",222.915,233.405
"So I hatched this secret plan, this mission.",233.445,239.732
I didn't tell anybody about it.,240.773,241.954
I am going to start dropping hints on the air.,242.655,245.177
 so people will know who I am.,248.296,251.499
And so my first hint is me discussing an article I'd read in Essence magazine.,251.559,259.027
Anybody?,261.73,262.071
Essence?,262.231,262.571
Yes?,262.691,262.952
You get it?,263.052,263.492
"Essence magazine, of course, targets African-American women.",264.453,267.416
And so I think surely now they know.,267.436,269.198
They know.,269.418,270.159
They got to know now.,270.179,271.741
Debate put to a rest.,272.101,273.763
