0.086; We don't want a repeat of last year.
0.151; You think I should talk to her, Maggie?
0.171; She doesn't talk to me, Margaret whispers.
0.132; So yes, I think you should do it.
0.155; Clara stares at her husband, once the most handsome man in the room.
0.187; Tommy, the baby's father, looks at Clara's face and takes a step back.
0.172; What do you want for your birthday, he asks.
0.097; I want you to start telling the truth, says Sasha.
0.15; You want to have kids?
0.094; I don't really like modern art, installation art.
0.159; Whatever it is, tell your husband.
0.147; That's what gives people cancer.
0.176; She shakes her head no without thinking.
0.115; When did you even apply?
0.151; And Stephen took early retirement.
0.073; She took a year off, did some great journalism in West Africa.
0.061; She knows it's Stephen, and she doesn't look.
0.088; I don't want to go back to New York, Clara says quietly.
0.112; Of course he's late, and now the dishes won't be done until this evening.
0.173; She's shopped and cooked and served, and now dishes again.
0.217; Gary heads to the door.
0.105; For a moment, he looks like a boy, getting caught and standing up in defiance, almost charming, but he's 35.
0.224; Alexander pays for their hot dogs with crumpled up dollar bills he pulls out of his pocket.
0.306; He still has a cat in his step.
0.172; I'll bet you'll want to move in.
0.125; Is this a come online?
0.079; I'm looking for interns and she sounds like a catch.
0.413; Between looking for keys and slipping on flip-flops, Gary sets the Tupperware on the mail table and forgets it.
0.217; The door closes.
0.109; Is New York worth the fight?
0.114; He knows it's in him, the it, the something, the drive.
0.061; She can hear loud yelling from the back.
0.229; I don't want to pick a fight with you, Margaret.
0.172; You want to get drunk?
0.135; She still remembers the address by heart.
0.086; You still want the name of that lawyer?
0.119; The moment she snaps, she regrets it.
0.217; Margaret stands by the door.
0.278; I don't want to die.
0.175; But today, she adds one more line.
0.187; The ceiling leak in Sasha's room has spread.
0.143; Clara's heart is pounding.
0.108; Why don't you want to come back to New York?
0.326; Is this the fight to undo them?
0.086; You want to go to New York?
0.121; Go ahead, Gary, she says.
0.133; You go ahead and act out.
0.172; I want you to be brave.
0.146; Let's revisit the child question if you want.
0.186; I dated him once, she says without meeting his eye.
0.157; He's looking for interns.
0.095; He sits up in bed, all defenses.
0.123; Did my dad tell you why I took a year off?
0.072; I'm glad you told me, says Alexander.
0.084; I'll be 21 next month and no one is looking.
0.125; She crawls back to their room in their bed, desperate to recapture his smell.
0.122; And that's how she knows.
0.254; It's Jeannie and Tommy's baby, he says.
0.217; In Alexandra's apartment, the bathroom door is all glass.
0.064; She tries to think of something sassy, but says, Red, thanks, then adds, My own glass.
0.364; She shrugs in the dark.
0.099; She moves on him slow, as if doing nothing, until he can't help but moan, not thinking, just moving, relentless, triumphant.
0.401; How does a baby die?
0.122; No one knows what to say, so everyone drinks.
0.172; What do you want from me, Tommy?
0.172; What do I want?
0.218; I want my child back.
0.172; That's what I want.
0.132; Do you think they'll make it?
0.095; You take all your ex-lover's daughters to bed.
0.221; You can't stay in there forever, she yells.
0.143; Her heart beats so fast.
0.217; She throws on her clothes, pounds on the door.
0.217; Then a thump through the frosted glass door.
0.22; Alexander's spread out.
0.105; I think I'm going to cancel the trip to New York, says Gary.
0.221; I'll stay here.
0.467; Backlit by the fridge, it catches Clara's eye.
0.167; I want to stay until I know he's okay, whispers Sasha.
0.071; I'll help you get your Pulitzer article together.
0.139; When we come back from New York, Gary says, we should get going with that baby idea.
0.1; I know, says Sasha.
0.364; Missing since 9-11.
0.279; They tape his face next to the weathered flyers of missing bankers, secretaries, firefighters.
0.143; Have a heart.
0.255; A missing flyer, discarded on the ground.
0.132; I want you to go to the morgue and give this for the DNA sample, she says.
0.172; You want some of my Xanax?
0.176; I really think you should make some arrangements and stay with us for a while.
0.385; Halloween masks and candy.
0.157; She's looking.
0.172; I don't want to see you again.
0.164; It all makes sense now.
0.079; Stephen opens the door of his office to lead out a patient, and Clara's right there, waiting on the soft maroon couch.
0.364; She's missing.
0.364; Margaret is not missing.
0.11; He wants her to stay, but she apologizes.
0.152; I gave Margaret's toothbrush for the DNA file today.
0.221; Inside her room, she tears down the tarps, stops out of breath, looks at the unopened pile of mail.
0.157; She can hear Gary's father struggling for the phone.
0.143; Her heart beats so loud.
0.212; I'll get you your Pulitzer piece, but I repeat, you stay away from my kid.
0.138; She's surprised Alexander opens his door.
0.217; The door, still all frosted glass, now fixed.
0.173; Served in rustic pottery, not plastic.
0.143; If someone writes an article about him...
0.191; There's only one journalist I know.
0.074; Clara sits across from Alexander at his makeshift office at Ground Zero.
0.071; He promises to do his best to get an article out.
0.141; Stay close to where he is.
0.192; Grief makes you nauseous.
0.118; No thinking, just movement.
0.086; Want a coffee, love?
0.159; Clara nods, checks her watch.
0.066; I think I need an ultrasound.
0.116; You want to hear it?
0.125; You want to hear its heart?
0.061; He knows what's inside.
0.238; An elderly couple approaches, then stops, almost embarrassed.
0.177; Clara keeps hearing the sound of the baby's heartbeat in her head.
0.463; Faster than fear.
0.0859375
