0.176; Clara's carefully picked happy graduation paper banners hang too low from the adobe doors.
0.248; She wants Stephen to ask why, but he doesn't.
0.293; And Clara is suddenly filled with a need to protect him.
0.231; She takes out more bottles of wine from the cupboard.
0.082; Inside the cab, Margaret holds on to her violin case.
0.196; The congratulations sign still hits him on the back.
0.085; When did you find out about New York?
0.119; But Gary is giddy and thrilled and sees nothing wrong with their lives.
0.011; It's just for a year.
0.228; We'll work it out.
0.152; I thought you wanted a kid.
0.114; I'm sure you can be a journalist in New York, too.
0.085; New York is the best.
0.373; She wants to protect herself.
0.3; She wants to hide.
0.356; We're postponing our lives, Gary.
0.231; She takes his lunch and tosses it in the trash.
0.149; He should have stayed designing those greeting cards.
0.168; A staff job is not easy to get.
0.141; She takes her violin case, puts it inside the closet, and then she mops the floor.
0.103; The lawyer's name is John Zimler.
0.128; In Clara's closet, there's a huge stack of Gary's greeting cards, meticulously drawn, worlds within worlds, creatures of the woods and of the seas, flying, flying.
0.228; Did Sasha say anything about you having to go back to work?
0.228; So you work harder now, pull more weight, then I will.
0.25; It's the price tag that gets her.
0.068; Stop talking.
0.068; Just stop talking, Clara.
0.166; Clara doesn't ask about the price, nodding yes, of course, the best for their friends.
0.039; She saw my bank statement.
0.3; He wants flesh.
0.162; It's her blood on the granite.
0.06; Said you'd lost your wallet, and I needed to get you.
0.119; At home, after putting Sasha to sleep, Margaret writes Alexander an email.
0.172; Are you sure I should go to New York?
0.129; I'm sure, Clara says.
0.107; It's that kind of day.
0.259; I'll try out New York, and then during the winter, you'll join me.
0.148; You saved someone's life, says Margaret finally.
0.167; I challenge you to, Stephen says, brandishing the tubes.
0.323; I've noticed the successful flyers, how they do it, she whispers.
0.323; Successful flyers, asks Clara.
0.15; All she wants is to kill him.
0.186; I hope her ghost haunts you forever.
0.127; Someone's bound to come forward.
0.085; The new flyer's much better.
0.175; Stops in front of the pregnancy test.
0.175; The test sits alone in her basket.
0.28; The chair is uncomfortable.
0.14; He's about to put them away when he smashes them into his chair.
0.223; He can't stand the news.
0.228; Why did Margaret go back to work in September?
0.184; She didn't need to go back to work.
0.259; Worlds within worlds, creature of the woods and of the seas.
0.231; She takes her purse and empties it.
0.175; Gary's toddler Polaroid photo, Margaret's flyer, the pregnancy test.
0.203; She takes the test in the bathroom, embraces herself.
0.231; She chugs one last sip, then takes off.
0.097; Shaking, Sasha slips the printed email underneath the door.
0.209; She's having a very hard time.
0.228; Work keeps everyone sane.
0.2; Bach's second violin concerto fills the apartment as if Margaret's playing.
0.3; She wants to sleep.
0.3; All she wants is to sleep.
0.3; Sasha wants Alexander to see her.
0.28; Clara gets up from her chair.
0.011; This is not a repeat of last year, Sasha whispers.
0.033; Clara walks outside in the hallway.
0.342; You should join EMS, she jokes once again.
0.116; Sixteen refrigerated trailers, humming engines, fragments of lives, remains coming in every day.
0.231; Clara takes an electric candle out of a Halloween lantern.
0.199; Alexander and the old couple stand underneath.
0.231; Alexander takes a lantern.
0.17570754716981132
