text,start,end
" Okay, so getting back to our story about Lucy.",0.031,3.216
"This is a story that begins in 1964, and it's one that Charles would have never heard about had he not bumped into this obscure old memoir.",3.417,12.672
Long out of print.,12.752,13.653
"Yeah, what's the name of the book?",13.673,14.375
Do you actually have it with you?,14.395,15.156
"Yeah, hold on.",15.176,15.897
" It's called Lucy Growing Up Human, A Chimpanzee Daughter in a Psychotherapist's Family by Maurice K. Tamerlan.",21.209,30.105
" Maurice K. Temerlin, he is the psychotherapist.",30.17,32.394
He's a psychotherapist.,32.414,33.596
And he's also the dad in this story.,33.897,35.78
"And his wife, Jane, who's a social worker, she's the mom.",35.94,38.465
"Now, the thing to know was that, especially for Maurice Temerlin, this was more than just adopting a baby chimp.",38.625,44.376
This was an experiment.,44.957,45.939
"He wanted to know, given the right upbringing, how human could Lucy become?",46.64,51.629
"You know, what he says early on in this book...",51.729,53.933
 Would she learn to love us and perhaps have other human emotions as well?,55.685,60.238
"Would she be well-behaved, rebellious?",60.779,63.206
What about sex?,64.088,65.492
" Maurice Temerlin actually died in 1989, but these are his words, read by radio host David Garland.",67.092,72.297
Would she mother her offspring?,72.417,73.798
Could she learn to talk?,74.399,75.44
How intelligent might she be?,75.56,77.022
And so how did they get her?,77.062,78.463
"He says that he and his wife, Jane, made all the arrangements.",78.803,82.267
Went and got the chimp from the day the infant was born.,82.287,84.869
The mother was anesthetized.,84.989,86.771
"In the early morning of her second day, Jane fed the mother a Coca-Cola which had been spiked with fencyclidine.",86.811,93.117
" a drug which puts chimpanzees into a deep, pleasant sleep.",93.097,98.043
And the baby was taken away.,102.809,105.372
"Jane named her Lucy and brought her home on a commercial airline, carried in a bassinet, her face covered with a lacy blanket.",105.473,112.682
We were blissfully unaware of the complexities we were creating on the day Lucy came home.,112.702,117.788
 So the baby was a day or two old?,119.928,121.471
Just two days old.,121.592,122.353
So it wasn't weaned?,122.514,123.576
No.,123.596,123.797
And that was part of the experiment.,124.057,125.22
They bottle feed her?,125.24,125.982
Yeah.,126.262,126.563
She quickly learned to hold her own bottle.,126.583,128.407
"At two months, her eyes would focus.",128.868,130.632
"At three months, she was trying to climb out of her crib to go to people.",130.973,134.18
"And at six months, she was pretty mobile on all four limbs.",135.122,138.51
 Memoir goes on.,139.317,140.138
By the time she was about a year old... She was eating at the table with us.,140.879,144.826
"Forks, spoons, knives.",144.846,146.108
She would see us using silverware and immediately do so herself.,146.148,149.233
She began to dress herself in skirts.,149.373,150.875
"She would often grab my hand, pull me to my feet, and beg me to chase her, always looking back to see that Daddy was not too far behind.",150.975,159.148
" You know, he really went at this with this sort of full-bore earnestness.",160.546,165.214
"You know, when he calls her his darling daughter.",165.354,167.939
I took great pride in my daughter's achievement.,168.139,170.323
He does feel like a real parent to Lucy.,170.523,173.889
"She was so responsive to being looked at, held, and stroked.",174.089,177.174
"But he's also, make no mistake, treating this as a very intense, cutting-edge experiment.",177.214,182.824
" The next phase of the experiment, which occupies a good deal of the book, involves one of those talents that we thought used to only be limited to us.",183.327,191.835
 Language.,192.777,193.258
Okay.,193.718,194.219
"Can you introduce yourself, please?",194.64,195.721
Okay.,195.841,196.122
My name is Roger Fouts.,196.562,198.205
I'm a professor of psychology and have worked with chimpanzees since 1967.,198.225,203.051
Roger Fouts was called in by Maurice Temerlin to address one of the crucial questions of the experiment.,203.692,209.54
Could she learn to talk?,209.56,210.982
Right.,211.002,211.243
"And at the time, he was the guy.",211.543,213.085
He'd just been part of a team that had proven for the first time that chimps could use sign language to communicate.,213.746,219.254
So his job with Lucy...,219.814,221.637
 was to teach her how to sign.,221.617,222.72
"And I think I came into her life when she was, as I remember, it was 1970.",222.86,227.07
I think it was four or five.,227.17,228.533
She was four or five years old.,228.573,229.776
"Roger taught her signs for airplane, baby doll, ball, banana, barrette.",229.876,235.108
Right.,235.369,235.649
Berry.,235.71,236.05
"Yeah, yeah.",236.091,236.993
So I was sort of like...,237.073,238.356
Blanket.,238.376,238.917
" the tutor, friend, babysitter that would come over for a few hours each day and spend some time, you know, just playing with Lucy.",238.897,247.994
I would work on signs.,248.114,249.316
We'd read books together or we'd go for walks and I would chat with her basically.,249.617,257.411
And he says that Lucy just sort of picked it up.,257.892,261.138
It was like a game.,261.238,262.761
 She learned some 250 signs.,263.399,265.182
"And the big question is, okay, so is it mere mimicry, or are they able to spontaneously create words and put them together in a new, original way?",265.562,277.08
"And there's been a lot of anecdotal evidence that, in fact, Lucy did spontaneously create words.",277.5,286.494
"In a later session, when shown a piece of watermelon, Lucy tasted it.",286.734,290.82
And she called it candy drink.,290.94,292.663
" And a radish had gotten quite old, and one day she was calling it food and food for, I think, several days of the study.",293.605,301.698
"And then she decided to eat this old radish, and she took a bite and spit it out.",301.738,306.026
"I said, well, what is that?",306.707,307.789
She called it cry-hurt food.,307.829,309.351
Wow.,309.872,310.273
She would also lie to me.,310.593,311.735
Really?,312.136,312.436
"Yes, yeah, yeah.",312.536,313.538
" And lying, we should also say, is another one of those things that people used to think only we do.",313.518,318.486
"During one of my sessions, I came in and she had a potty accent and that she had been potty trained, but sometimes she didn't always make it.",318.867,325.718
And I was upset because I was now faced with having to clean.,325.959,329.805
" And so I said, whose is that?",329.785,332.309
