text,start,end
" This is Los Angeles, and it's the height of summer. In a small bungalow off La Cienega, Clara serves homemade chili and chips in red plastic bowls, wine in blue plastic. The colors don't match, and the cups are too big to serve wine.",20.88,35.96
" You didn't get half the things on my list, she hisses at Gary as he passes.",36.12,40.14
 He shrugs. No one seems to mind but her.,40.84,43.46
 Did you have to buy a $400 bottle of scotch?,44.2,46.6
 Gary waves away her upset.,47.18,48.64
" He seems distracted, guilty of something.",49.2,51.74
 She can tell by the way he avoids her.,52.38,54.14
 Clara looks at her face in the hallway mirror.,54.76,57.02
 She's 33 years old.,57.06,58.7
 She's slowly getting white hairs in her eyebrows.,59.08,61.26
 She feels completely alone.,62.18,64.06
" Grad students fill the low-ceiling space,",64.88,66.86
 chewing big words and gesticulating emphatically.,67.26,69.78
 Gary's face looks up from the photo,69.94,72.03
 his parents have framed in expensive mahogany.,72.03,74.72
" Elated, graduating, cap and gown and all.",75.22,77.76
 Toast and more toast.,77.78,79.28
" To our doctor of philosophy, amazing art prodigy,",79.52,82.72
 to Gary Loewesen.,82.72,84.06
" Clara's carefully-picked, happy-graduation-vapor banners",85.0,88.36
 hang too low from the adobe doors.,88.36,90.82
 People have to duck when they go in the kitchen.,91.54,93.56
" On the 74th in Columbus, apartment 9D, Stephen Perdue watches his wife get ready for her violin lesson.",100.37,107.67
" Black clothes, pearl necklace, her controlled, quiet elegance.",108.23,112.39
" We cannot ignore this. We should be vigilant, Stephen.",113.29,116.19
" Married eight years, he still can't believe his good luck.",117.01,119.73
" Stephen, are you listening? Yes, yes, he is listening.",120.35,123.97
" Sasha broke up with this guy, and now a missing ten sleeping pills.",124.61,128.49
" Oh, God, what is his daughter getting into again?",128.65,131.45
 We don't want a repeat of last year.,131.97,133.69
 There is an edge in Margaret's voice.,134.29,136.07
 This girl better grow up.,136.45,138.19
" She sounds cold, and he notices.",138.91,140.49
" Margaret pauses by the mirror, then touches her neck.",141.37,143.97
 She hates her age.,144.59,145.73
 She hates being Sasha's stepmother.,146.23,148.13
" You think I should talk to her, Maggie?",148.75,150.17
 Margaret turns and wraps her arms around Stephen's stoop frame.,151.07,154.15
 He looks much older than 50.,154.75,156.19
" She doesn't talk to me, Margaret whispers, so yes, I think you should do it.",156.33,161.35
 She stops.,161.79,162.31
" I'll be home late tonight, she adds.",163.09,164.75
" She wants Stephen to ask why, but he doesn't.",164.97,168.19
 The graduation party keeps going.,174.1,175.8
" Clara stares at her husband, once the most handsome man in the room.",176.36,180.02
 Gary's 35 and already balding.,180.22,182.52
" His face is liquor flushed as he bends over a four-month-old baby boy,",182.52,186.82
" son of friends, his friends, not hers.",187.4,189.66
" He has to hold the boy, and Clara's eyes melt. In an alternate universe, this boy would be theirs.",189.9,195.9
" Gary's awkward. The baby starts crying, and everyone laughs. You're not daddy material, man.",196.74,201.72
" Clara can see the back of Gary's neck, all red, embarrassed, but hiding it. She knows this neck,",202.22,208.54
" has studied it each night for 10 years, and Clara is suddenly filled with a need to protect him.",209.08,214.48
" She puts her hand on the small of his back, hoping he'd turn.",214.56,218.36
 The baby's father steps up.,219.24,220.72
" So, is it time to open that scotch?",221.0,222.86
" Clara, you're moving to New York too?",223.4,224.94
 Going where? Doing what?,225.38,226.86
" Clara looks at Gary, confused, and he smiles past her, to the crowd.",227.36,231.5
 He's basking in the glory of something.,231.58,233.9
" Tommy, the baby's father, looks at Clara's face and takes a step back.",234.66,238.7
" Oh man, did I blow the surprise? I'm so sorry.",239.08,242.12
" You guys are into bullshit drama again. I just like to sleep deeply these days, that's all.",242.26,254.32
" Sasha strides up to her dad and opens her palm. The ten white sleeping pills stare at him,",255.14,260.06
 an act of defiance. I certainly don't need you guys freaking out. Sasha watches her dad flush,260.52,266.38
" the pills down the toilet. He should have put them back in the pillbox. Of course Sasha's right,",266.4,272.54
" and now his gesture of closure feels stupid. He puts his hand on her shoulder, but she wiggles",272.78,277.6
" away. So how do you sleep these days, Dad? He turns on CNN. Have you told Margaret yet? Stephen",277.66,284.83
 stares at the TV in carnage. You haven't told my stepmother you lost all your money? That your,284.83,290.25
" stocks have all tanked? That I might have to drop out of college? On the TV, the Middle East, India,",290.25,296.28
" wars, earthquakes, crashes. Stephen sighs. There's no need to disturb Margaret. I'll figure it out.",296.86,303.36
" What do you want for your birthday, he asks. I want you to start telling the truth, says Sasha, and her voice for the first time is breaking. Your duplicity is so fucking exhausting.",303.52,314.68
 Clara stares at Jeannie,321.01,322.4
" She must be what, 25, 26",322.4,324.73
 So in love with this baby,325.47,326.71
 Spitting up goo on her lap,326.71,328.35
 And then the moment they found out I was pregnant,328.93,331.13
 Tommy's parents swept in and erased all our debt,331.15,334.26
" All $10,000 in one check",334.26,336.57
 So we could start fresh and not stress,336.63,338.93
" Amazing, just amazing",338.95,341.45
 I love them,341.45,342.64
" That's great Jeannie, Clara musters",342.64,345.43
 You want to have kids?,346.11,346.81
 Asks Jeannie,347.29,347.87
 still pudgy from the birth so full of life and good cheer not yet Clara says stiffly can't afford,347.99,355.37
 it for one Jeannie looks up expecting more of an answer I don't really like modern art installation,355.37,361.93
 art I don't really get it admits Jeannie Tommy says it's an incredible opportunity for Gary,362.33,368.06
