0.122; You didn't get half the things on my list, she hisses at Gary as he passes.
0.174; No one seems to mind but her.
0.112; She can tell by the way he avoids her.
0.11; She wants Stephen to ask why, but he doesn't.
0.227; He has to hold the boy, and Clara's eyes melt.
0.146; So, is it time to open that scotch?
0.114; Clara looks at Gary, confused, and he smiles past her, to the crowd.
0.112; Of course Sash is right, and now his gesture of closure feels stupid.
0.179; I'll figure it out.
0.125; asks Jeannie, still pudgy from the birth, so full of life and good cheer.
0.239; She hates Gary for making her the killjoy.
0.101; Inside the cab, Margaret holds on to her violin case.
0.207; Marga texts him instead.
0.187; Anger and humiliation are drowning her breath and probably a touch too much wine.
0.095; Margaret feels beautiful.
0.182; Praising your private life to a lover, even a former lover, feels wrong.
0.095; I thought you wanted a kid.
0.043; Sasha's been a bit of a handful.
0.132; When she says it, it feels lame.
0.096; I'll do them later, Clara, don't fuss, Gary says, as he flips over Tupperware, newspapers looking.
0.122; You've seen my wallet?
0.297; Without getting paid?
0.129; But she just signed her contract here, and he knows it.
0.067; We should have talked this move through before you applied, he laughs.
0.067; You would have talked me out of it.
0.11; She wants to protect herself.
0.221; She wants to hide.
0.114; Her eyes find his wallet right by the couch.
0.043; Every bit of bean.
0.043; Every bit of rice.
0.086; How could you not notice a huge leak right over your head?
0.194; Her stepdaughter looks at her with cold eyes.
0.113; You hold on to that job.
0.227; Clara closes her eyes.
0.152; That was one conversation in thousands, but her mom won't forget.
0.13; Stephen can hear their agitated voices full of anger.
0.143; He stands in his pajamas by the light of the open fridge.
0.224; Sasha, if you're in trouble, you have to tell us.
0.333; What's wrong with being upset?
0.224; You tell me.
0.333; Is there something wrong if I'm upset?
0.085; She takes her violin case, puts it inside the closet, and then she mops the floor.
0.22; Never expects a response.
0.227; Margaret rolls her eyes.
0.227; His eyes get strangely alarmed.
0.036; Enjoy your music.
0.173; Did I ever meet Alexander?
0.1; The mailbox door creaks and the cool air feels good.
0.19; She feels she can't breathe.
0.227; A shadow crosses her eyes.
0.122; Alexandra's shadow stops outside the door.
0.149; The service is short.
0.185; Clara keeps looking at Jeannie, so frail she could break.
0.079; You can't save the ones that you love, Jeannie says, and she leaves.
0.194; His eyes are half closed.
0.221; He wants flesh.
0.22; No response.
0.045; We had the party a week ago, she says.
0.107; She looks at this man she has loved for ten years.
0.203; You've burdened our life by $36,000.
0.19; She feels cold.
0.142; When Margaret enters the ER, Sasha's never felt such relief.
0.224; What did you tell Dad?
0.102; You'll have a great life.
0.043; You're being a bit too dramatic, Gary scoffs.
0.227; She closes her eyes.
0.146; I challenge you to, Stephen says, brandishing the tubes.
0.193; Gary's mom locks eyes with her daughter-in-law.
0.12; Think about the rest of your life, says her mother.
0.112; This bulletin board is just for the church, the janitor yells.
0.329; All she wants is to kill him.
0.073; Later, she says.
0.102; You cleaned him out of your life way too fast.
0.203; Everyone suffers in life.
0.189; Shaking, Sasha slips the printed email underneath the door.
0.19; Clara feels defensive.
0.091; Gary was creating site-specific art.
0.155; She tries to concentrate on the reason she's here.
0.185; She's having a very hard time.
0.107; Clara looks up at the man she once loved.
0.122; Has anyone seen Gary Loewsen?
0.036; He flows with the music.
0.227; She's calm, rubs her eyes.
0.221; She wants to sleep.
0.221; All she wants is to sleep.
0.221; Sasha wants Alexander to see her.
0.11; She wants him to watch.
0.227; Sasha moans, half opens her eyes and she gags.
0.071; I got you, Sasha, she tells her.
0.19; She feels warm.
0.095; She feels safe.
0.22; Lying in the semi-dark room, she keeps her eyes closed as the technician moves over her abdomen.
0.227; Clara opens her eyes.
0.098; She says she has something she wants us to hear.
0.08; The sun is white, floods Clara's eyes, like birth each day.
0.12209302325581395
