text,start,end
" Okay, so they began with like",7.692,32.417
 A dream sequence of a shootout.,32.718,36.425
It's during the day.,36.545,37.627
"It looks like it's in a grassy field with some sort of disheveled, half-recomposed building.",38.228,44.72
There's a lot of guys in army gear shooting.,45.642,49.789
It's very chaotic.,50.15,51.112
You can't really make out any faces or really people.,51.172,54.979
" And then so that cuts out really quickly and you see this man kind of like start out of the bed, it's dark, looks like it's the middle of the night or something.",55.668,66.563
And so he just kind of sits up and like sits there like keeping for a while like he just woke up from a nightmare which is what we assumed that dream was.,66.583,78.199
 So then it cuts out to the daytime and we get like this image of his apartment and he's just kind of like walking around.,78.938,87.567
"They have a shot of his mug, which has some kind of like sign on it, like a crest almost.",87.607,93.814
And then there's like a quick shot too of like a gun and a notebook.,94.375,97.698
And then it cuts to another clip of the same man sitting in front of what we can assume is his therapist.,98.359,105.847
"And, um,",106.768,107.629
" They're talking, she says something about him still having trust issues and, or no, she writes that and then he reads it upside down and asks her about writing that and then she confronts him about reading her writing upside down and it's a very tense situation.",108.689,124.971
"And then that immediately cuts out and we see a blind woman, she's in an office building, she's on the phone with a man.",126.773,137.548
 and we're not sure what the relationship is between her and the man but she tells him to get a taxi home and then right after we see a clip of a man taking a pill out of like this clear bottle and the pill is white with red dots on it and it's,138.052,165.055
" The scene is pretty hazy, so you're not exactly sure what's happening.",165.288,168.912
"He looks like he's in some sort of building though, like right up against the edge in like a glass elevator or some small confined area.",169.252,177.721
"So he's shaking, he takes his pill, and then we see him press against the glass from an outside perspective.",178.081,187.29
We later reveal that he died.,188.251,190.434
And it's implied that that pill is the poison that killed him.,191.254,193.877
" And then there's a quick scene where someone, I'm not sure who it was, was saying this man, like he was a good person, we're not sure why he died, or I mean why he would have committed suicide.",195.376,212.274
And then the blonde woman who spoke to him on the phone earlier is seen in the background crying.,212.294,216.678
"And then we cut to another scene of these two teenagers, maybe early 20s, these two guys, pretty young.",217.96,225.147
 walking in the rain one of them doesn't have his umbrella and the other does and it's It's raining.,225.464,231.632
It's dark.,231.652,232.052
