text,start,end
" Tonight, a story by Frederick Pohl.",0.031,2.374
Tunnel Under the World.,3.215,4.697
"On the morning of June 15th, Guy Burkhardt woke up screaming.",4.737,18.456
It was more real than any dream he had ever had in his life.,22.382,25.566
" He could still hear and feel that sharp metal ripping explosion, that searing wave of heat.",26.272,33.383
He sat up.,33.403,33.904
Mary!,34.265,34.465
Mary!,35.467,35.747
Mary!,36.889,37.169
Mary!,37.269,37.61
Where are you?,37.89,38.331
"Guy, what's wrong?",38.972,40.254
You're trembling.,40.334,41.276
Where were you?,41.296,41.717
In the kitchen cooking breakfast.,41.897,43.179
What is it?,43.199,43.68
I don't know.,44.681,45.062
"A dream, I guess.",45.082,45.743
An explosion.,46.284,46.945
Did you say an explosion?,47.305,48.427
Yes.,48.768,49.068
But that's the dream I had.,49.309,51.031
What?,51.853,52.093
 I dreamed there was a big explosion and then something sort of hit me on the head.,52.495,56.281
"Holy smokes, maybe there really was some sort of explosion at the start of the streaming.",57.302,62.15
"Well, there'll be an explosion down at your office if you don't hurry and get to work.",63.031,66.376
THE END,68.559,76.832
" Coming in on the bus, Burkhardt watched to see if there was any evidence of an explosion.",78.517,83.644
There wasn't.,84.485,84.925
"If anything, the town looked better than ever.",85.766,87.669
The only thing that seemed strange to him was the fact that none of the usual crowd was on the bus.,87.709,94.157
"He was a little relieved when his old pal, Henry Swanson, finally got on.",95.379,99.264
Excuse me.,101.026,101.507
Henry!,102.508,102.869
"Pardon me, sir.",102.909,105.512
"Henry, what's the matter with you?",105.532,106.434
"It's me, Guy Burkhardt.",106.474,107.595
" Burkhardt, sorry, I don't believe we've met.",108.132,110.194
What?,110.975,111.215
"Henry, for Pete's sake, it's me.",111.936,113.217
"If you'll excuse me, this is my stop.",113.337,115.059
"Well, I'll be... How do you like that?",115.419,117.441
"Guy Burkhardt got off in front of the gigantic Contro Chemical building, took the elevator to the 98th floor where he had worked in the accounting department for 12 years.",125.109,134.419
It wasn't until he was almost at his floor,135.6,137.802
 that he realized the speaker was not playing the usual commercials.,138.22,143.246
"Friends, are you happy with your present home freezer?",143.266,145.389
Of course not.,145.449,146.43
"Well, the answer to your problems is a feckle freezer.",146.49,148.653
Feckle freezers are better freezers.,148.973,150.936
Most wives would do anything for a feckle freezer.,151.376,154.52
"Friends, are you happy with your present home freezer?",154.921,156.963
"Morning, Miss Horne.",163.852,164.412
"Good morning, Mr. Burkard.",164.773,165.854
"Well, new hairdo, I see, huh?",166.455,168.177
" Why, yes.",168.494,169.255
Do you like it?,169.275,169.836
It makes a lot of difference in your appearance.,170.537,171.879
Mr. Barth in?,172.961,173.462
"No, sir.",173.983,174.784
He had an appointment with Mr. Dorchin of the Human Research Institute.,174.804,178.951
Today?,178.971,179.291
But today's the 15th of June.,179.371,181.274
He has to sign the quarterly statement.,181.675,182.917
He said he wouldn't be in.,183.317,184.099
Huh.,185.12,185.2
That's mighty peculiar.,185.341,186.142
"Yes, sir.",186.743,188.265
"Oh, by the way, Miss Horne, what the devil is a feckle freezer?",188.285,192.171
A feckle freezer?,192.712,193.654
There's some new copy on the elevator commercial.,194.195,196.358
 Dorch must have landed another account.,197.08,198.601
Feckle freezes.,198.642,199.542
"I really don't know, Mr. Burkhardt.",200.103,201.805
It's a funny day.,204.207,204.847
"Can't quite put my finger on it, but there's something strange going on.",204.888,208.491
He couldn't shake the thought out of his mind.,215.538,217.84
It persisted all through the day and through dinner.,218.561,220.663
He was still brooding as he and Mary got ready for bed.,221.343,225.147
" Tired, dear?",226.915,227.876
Hmm?,227.896,229.197
"Oh, uh, no.",229.217,229.837
Anything wrong?,230.498,231.079
I don't know.,232.159,232.7
"Well, I guess I'll get a good night's sleep.",233.901,235.502
Coming?,235.963,236.263
I think I'll sit up and read for a while.,237.024,238.245
"Well, good night, darling.",238.965,240.887
"Night, dear.",241.227,241.507
"At exactly midnight, Guy Burkhardt lapsed into a sudden, deep sleep.",250.175,256.5
" And the following morning, he woke up screaming.",257.189,260.715
"Darling, what is it?",263.68,264.542
What's wrong?,264.882,265.323
"Oh, nothing.",267.346,269.089
"Bad dream, I guess.",269.811,270.732
You gave me such a shock.,271.173,272.515
I seem to be having a lot of nightmares lately.,274.298,276.021
Really?,276.442,276.843
"Yes, the one I had yesterday.",277.784,278.946
This was the same.,279.006,280.569
A big explosion and then nothing.,280.589,282.893
 You had a dream yesterday?,283.295,284.516
"Well, of course I did.",285.457,286.218
You had the same sort of dream.,286.238,287.359
I?,287.92,288.04
"Guy, you're mistaken.",289.141,289.982
I don't remember dreaming.,290.262,291.524
"Oh, now, Mary, you told me.",291.544,292.625
"Guy, you're mistaken.",292.805,293.666
"But, Mary, you... Maybe you dreamed I had a dream.",293.706,296.649
"Maybe... Oh, yes, I might have done that, I suppose.",296.909,299.292
Everything did seem sort of strange yesterday.,300.733,302.535
"Oh, that's probably it.",302.735,303.796
"You better get dressed, dear.",304.237,305.158
Today's the 15th.,305.198,305.999
That's when the quarterly statement... 15th?,306.199,308.161
Yes.,308.181,309.562
"Well, it must have been a dream, because yesterday was the 15th.",309.583,311.985
" Guy Burkhart got up, dressed, ate breakfast, and took the usual bus to work.",320.808,328.335
"Once again, everything seemed even brighter and newer than usual.",328.355,331.979
"And once again, he was puzzled when he noticed none of the old crowd on the bus.",332.84,336.984
"Pardon me, please.",339.727,340.487
"Look, don't shove so.",341.228,342.309
"Oh, morning, Henry.",343.33,343.931
Morning.,344.892,345.152
"For God's sake, don't talk.",345.873,347.254
 No.,350.643,350.943
I was sure you remembered.,352.045,353.506
Remembered what?,353.526,354.147
I can't talk.,354.327,354.988
This is my stuff.,356.109,356.79
"Will you excuse me, please?",356.81,357.851
Henry.,357.971,358.211
"Henry, for Pete's sake.",358.732,367.782
"As in yesterday's dream, Guy Burkhart got off at his stop and took the elevator to the 98th floor.",369.083,375.77
The speaker in the elevator purred a new commercial this time.,376.471,379.975
 Marlin cigarettes.,381.102,382.944
They're sanitized.,382.964,384.126
Does your present cigarette make your throat feel raspy and unpleasant?,384.766,389.772
"Marlin cigarettes contain a miraculous new drug which actually gives you the sensation of smooth, creamy smoke.",389.792,398.723
Marlin cigarettes.,399.924,401.246
Marlin cigarettes.,402.227,406.592
He walked down the marble corridor to his office.,406.612,409.776
" Good morning, Mr. Burkhardt.",413.789,415.211
"Good morning, Miss Horne.",415.711,416.612
Do you like my new hairdo?,417.593,418.935
"Uh, yes.",421.517,422.018
Is Mr. Barth in?,422.939,424.06
"No, sir.",424.781,425.462
He had an appointment with Mr. Dorchin at the Research Institute.,425.482,429.346
I know.,429.546,430.047
You know?,430.868,431.408
"Well, I guessed it anyway.",431.468,432.429
"And today is the 15th of June, and he won't be here to sign the quarterly statement, and I'm going nuts.",432.79,436.974
"Let me have a cigarette, will you?",437.615,439.197
"Yes, sir.",439.217,439.777
Try one of these.,440.618,441.399
They're Marlins.,442.04,443.121
 Never heard of Marlins before today.,443.438,445.22
"What are we, a bunch of guinea pigs?",445.261,446.462
"Something wrong, Mr. Burkard?",447.223,448.825
Wrong?,448.846,449.346
"Perish the thought, Miss Horne.",450.408,451.73
Perish the thought.,451.85,452.791
He went to his desk and stared at the mail.,460.642,463.906
"Before he opened it, he knew that the factory distributor's envelope contained an order for 12 new electronic computers.",463.926,470.796
 He knew that the development journal contained an article about a new method of transplanting selective brain circuits of human engineers onto the electric brain circuits of robot engineers to facilitate the operation of automatic factories.,471.417,485.95
He knew that there was a complaint from Feinbeck and Sons about the Controchemicals' newest household robot circuit.,486.611,494.558
"After a long while, he forced himself to open them.",494.578,498.522
 They were exactly as he suspected.,499.43,501.753
Hello?,505.478,506.7
This is Swanson.,506.72,507.481
Henry Swanson.,507.761,509.283
What is it?,509.303,509.664
Do you remember?,510.384,511.346
Remember what?,511.366,511.927
Just remember.,512.107,512.808
"All right, now listen, Henry.",513.809,514.51
Let's stop playing games.,514.53,515.571
"Yesterday, either I was dreaming or you stubbed me on the bus.",516.272,518.956
"Today, the same thing happens.",519.056,520.137
"Oh, you do remember.",520.578,521.339
Thank heavens.,521.399,522.901
"I thought so when I saw you, but I couldn't be sure.",522.921,525.324
"Well, what is it you want?",525.344,526.025
"Listen, tomorrow morning...",526.686,528.188
 when I get off the bus.,528.488,529.449
You get off with me.,530.311,531.032
Be casual.,532.153,533.215
They may be watching.,533.235,535.057
Who may be watching?,535.077,535.979
Swanson!,537.541,539.263
Hello!,539.283,539.644
"You buzzed, Mr. Bearcarter?",547.134,548.496
"Yes, I'm still out of cigarettes.",548.697,550.058
Would you buy me a pack of Kelvins?,550.399,551.581
Wouldn't you rather have Marlins?,552.061,553.343
I smoke Kelvins.,554.525,555.346
"But, Mr. Bearcarter,",555.807,556.808
" Marlins have that soft, creamy smoke that's so soothing to your throat.",557.092,561.497
"Oh, you really believe that stuff?",561.517,563.699
"Well, it's true.",563.86,564.6
"I wouldn't say this, Mr. Burkhardt, except that, well, I've gotten to know you pretty well, and I've grown to admire you so much.",565.782,574.752
I see.,576.033,576.374
"Would you mind, Mr. Burkhardt, if I told you that for months now I've wanted to, well, just comfort you?",577.034,584.883
I know how troubled you've been.,584.903,586.525
" Well, you've never mentioned your feelings before, Miss Horne.",587.72,591.645
April.,591.966,592.406
My first name's April.,594.009,597.033
"Oh, that's a pretty name.",597.053,598.154
"You see, I do have your welfare at heart.",598.174,600.557
"That's why when I see you smoking Kelvins, and I know Marlins are so much better, won't you let me buy some of them for you, huh?",600.938,611.352
"Well, I suppose so.",611.372,612.954
Why not?,613.775,614.076
"Here, bring me a carton.",615.057,615.858
Oh.,616.339,616.579
" Thank you, Mr. Durkheim.",617.167,619.649
Guy.,619.669,622.192
"I, uh, I think you ought to go.",622.212,624.454
I'll be back.,624.494,625.996
There was something wrong.,633.543,634.764
Something definitely peculiar about what was happening.,635.805,638.648
The call from Henry Swanson.,639.328,640.469
"The strange behavior of his secretary, Miss Horne.",641.43,643.993
"These new products, the dreams.",644.654,646.195
 Guy Burkhart went home that night feeling like a man in a nightmare.,647.491,652.218
"Is that you, dear?",654.02,654.701
It's me.,654.741,656.203
Did you have a good day?,656.684,657.405
Fair.,657.465,658.367
"Oh, before you sit down, will you go down in the cellar and put in a new fuse?",659.108,662.372
The switch in the hall closet blew out.,662.773,664.395
I shut it off.,664.756,665.337
Okay.,665.957,666.338
