0.241; She's 33 years old.
0.242; There is an edge in Margaret's voice.
0.318; This girl better grow up.
0.175; You think I should talk to her, Maggie?
0.23; She doesn't talk to me, Margaret whispers.
0.043; The ten white sleeping pills stare at him, an act of defiance.
0.209; I'll figure it out.
0.121; He holds a cracker piled with overripe brie and jelly, shoves it in his wife's mouth.
0.102; Anger and humiliation are drowning her breath and probably a touch too much wine.
0.127; Alexander doesn't respond.
0.121; She can hear the pride in her voice, and she stops.
0.064; I'll do them later, Clara, don't fuss, Gary says, as he flips over Tupperware, newspapers looking.
0.389; We should have talked this move through before you applied, he laughs.
0.389; You would have talked me out of it.
0.166; That certainly used to be true.
0.072; I'm looking for interns and she sounds like a catch.
0.06; He is losing his wife.
0.242; Sasha's voice is annoyingly calm.
0.239; Make sure to clean everything well.
0.065; She still remembers the address by heart.
0.13; The moment she snaps, she regrets it.
0.237; He tries his best at brokering peace.
0.098; He can hear Margaret's voice rising high.
0.121; Get your wife off my back.
0.147; Stephen moves to hug Sasha.
0.242; Her mom's voice is flat steel.
0.252; Let me know how you are.
0.203; It's just, without work, I feel old.
0.12; There's nothing funny about feeling old.
0.13; Clara's heart is pounding.
0.174; Enjoy your music.
0.173; Let's revisit the child question if you want.
0.125; He's looking for interns.
0.147; Sasha won't call him if she thinks it's my lead.
0.118; He hands Sasha the olives.
0.198; So, when do I start?
0.103; I don't believe in lies.
0.062; I'll be 21 next month and no one is looking.
0.292; Gary holds Clara's hand and will not let it go.
0.086; The bathroom, white granite.
0.12; Getting too old for this, he sucks in his breath.
0.062; When you're not looking, babies die.
0.068; At church, the congregation is numb.
0.216; Clara keeps looking at Jeannie, so frail she could break.
0.13; But I always turn Sasha over to you, to her mom, to a nanny.
0.227; She waits for him to continue, but he doesn't.
0.152; Gary drives them home, taking the turn off the highway so sharp she thinks he'll kill them.
0.13; Her heart beats so fast.
0.204; So much force.
0.13; I'll turn down the internship.
0.12; It's a week old.
0.091; I believe this means New York is calling you, Gary.
0.206; I believe you should go.
0.129; Let's look at it as a new beginning for us, he deflects, stepping out of his clothes.
0.086; Her eyebrows are filled with white hairs.
0.169; After she jumped, they never let me visit the hospital.
0.138; Let's use these to fight.
0.111; His wife and daughter look up.
0.065; For a moment, on 74th and Columbus, apartment 9D, there's a mother and daughter.
0.202; Let's add this photo next, then I want you to keep it.
0.231; Clara glances at Gary's mom a few steps ahead, scouting out bulletin boards.
0.097; Her own mother's voice comes through the cell, clear with purpose, as always.
0.137; I clean up these flyers every day.
0.13; Have a heart.
0.04; Mother and wife, says the flyer.
0.065; You broke Margaret's heart when you slept with me, she hisses.
0.055; Sasha can hear her heart beating out of control as she moves to the bar.
0.086; A bouquet of white orchids from Jeannie and Tommy.
0.263; When she's done throwing up, Clara remembers to clean everything well.
0.196; I really think you should make some arrangements and stay with us for a while.
0.125; She's looking.
0.124; For one crazy double-take moment, he thinks, is she here because I never answer her letters?
0.121; No, he says in the detached voice of a therapist.
0.118; His hands flex an agromanagement foam tube.
0.268; He wants her to stay, but she apologizes.
0.414; Let me gather myself.
0.242; Her voice sounds pragmatic.
0.194; Let me know how you are, Clara's added.
0.13; Her heart beats so loud.
0.13; Her mom's voice is like steel.
0.118; She refuses to enter, hands him two Ziplocs.
0.07; I found out why she went to the office.
0.263; On 74th and Columbus, apartment 9D, Stephen begins to clean up.
0.174; He flows with the music.
0.087; Stephen puts on some music, watching his child sleep.
0.108; You want to hear its heart?
0.065; Two weeks before 9-11, I had a heart attack.
0.114; They won't allow open flames at the hospital.
0.24050632911392406
