0.086; He could still hear and feel that sharp metal ripping explosion, that searing wave of heat.
0.044; THE END Coming in on the bus, Burkhardt watched to see if there was any evidence of an explosion.
0.144; Henry, what's the matter with you?
0.027; How do you like that?
0.027; Do you like it?
0.132; It makes a lot of difference in your appearance.
0.025; It's a funny day.
0.025; It persisted all through the day and through dinner.
0.133; Coming?
0.246; You gave me such a shock.
0.122; A big explosion and then nothing.
0.143; I don't remember dreaming.
0.087; Oh, now, Mary, you told me.
0.115; Marlin cigarettes contain a miraculous new drug which actually gives you the sensation of smooth, creamy smoke.
0.139; He walked down the marble corridor to his office.
0.141; Perish the thought, Miss Horne.
0.141; Perish the thought.
0.079; Before he opened it, he knew that the factory distributor's envelope contained an order for 12 new electronic computers.
0.048; He knew that the development journal contained an article about a new method of transplanting selective brain circuits of human engineers onto the electric brain circuits of robot engineers to facilitate the operation of automatic factories.
0.143; Do you remember?
0.143; Remember what?
0.143; Just remember.
0.143; Oh, you do remember.
0.148; I, uh, I think you ought to go.
0.091; Did you have a good day?
0.167; Well, I don't really understand.
0.036; Mary, I know this sounds crazy, but somebody, for reasons I can't even begin to guess, has taken this house and replaced it with a clever imitation.
0.135; Mary, I'm going to look around a little more.
0.297; Well, your dinner will be ready in a...
0.198; Today's the day Mr. Barth fills out the quarterly tax return.
0.054; He'll be at a meeting with that crackpot Dorchin at the Human Research Institute.
0.201; And Miss Horne will have a new hairdo, and the elevator will be selling some new product, and Swanson...
0.127; Do you remember the phone call?
0.141; First I thought perhaps they were Russians.
0.074; Now I'm beginning to think they're Martians.
0.241; Now, wait a minute.
0.025; Yet I could swear yesterday was June 15th and the day before that.
0.139; What makes you think that?
0.241; Wait a minute.
0.081; Henry Swanson led Guy Burkhart to a small hole on the side of the excavation.
0.294; A tremendous panel with dozens of telescreens.
0.227; All right, it's worth the chance.
0.095; Don't worry.
0.347; This is crazy, but it fits the facts when I think about it.
0.025; During that day, they pour all kinds of suggestions and propaganda into us.
0.133; Why, in a year, he could sell us anything from freezers to political candidates.
0.241; Wait a minute.
0.148; How do you think we can?
0.241; Wait.
0.133; There's somebody coming down the tunnel.
0.143; Miss Horne has informed us that you remember.
0.133; I'm coming after you.
0.241; Wait.
0.305; Heaven help us.
0.241; Wait.
0.087; I told you it was useless, gentlemen.
0.11; After all, it only has to last for a single day, June 15th.
0.118; At midnight, we turn off the power and wash out the memory of the day.
0.143; You remember.
0.169; We can make a run for it down the tunnel.
0.167; Now do you understand why it's useless?
0.114; It came closer.
0.08551336146272855
