0.096; Tonight, a story by Frederick Pohl. Tunnel Under the World.
0.178; It was more real than any dream he had ever had in his life.
0.045; I dreamed there was a big explosion and then something sort of hit me on the head.
0.179; Well, there'll be an explosion down at your office if you don't hurry and get to work.
0.146; He was a little relieved when his old pal, Henry Swanson, finally got on.
0.183; It wasn't until he was almost at his floor that he realized the speaker was not playing the usual commercials.
0.085; Well, new hairdo, I see, huh?
0.044; He had an appointment with Mr. Dorchin of the Human Research Institute.
0.141; He has to sign the quarterly statement.
0.09; There's some new copy on the elevator commercial.
0.121; You had the same sort of dream.
0.121; Everything did seem sort of strange yesterday.
0.085; That's when the quarterly statement... 15th?
0.258; No. I was sure you remembered.
0.095; The speaker in the elevator purred a new commercial this time.
0.048; Do you like my new hairdo?
0.089; He had an appointment with Mr. Dorchin at the Research Institute.
0.349; Try one of these.
0.113; I thought so when I saw you, but I couldn't be sure.
0.258; I'm not sure.
0.165; Guy, what in the world are you talking about?
0.034; There were the same unfamiliar faces, the same unusually new-looking buildings, the same unusually bright sunshine.
0.258; I'm not sure.
0.258; I'm not sure.
0.228; Well, why doesn't it work for us?
0.09; Tests in the 47K12 group of Marlin cigarettes pulled 80% using the soft feminine approach.
0.244; It's worth a try.
0.091; What I and my associates did was take the brain circuits from your dead bodies.
0.19; Beyond was only a glare so bright that their eyes could not stand to look into it.
0.28; Worker?
0.09642857142857143
