0.383; Did you have to buy a $400 bottle of scotch?
0.087; Black clothes, pearl necklace, her controlled, quiet elegance.
0.196; Going where?
0.167; Oh man, did I blow the surprise?
0.18; I certainly don't need you guys freaking out.
0.248; There's no need to disturb, Margaret.
0.259; She hates Gary for making her the killjoy.
0.105; asks the cab driver.
0.133; His turban blocks her view of the asphalt.
0.101; You look like someone who should, says the cab driver, and is quiet the rest of the way.
0.357; When did you even apply?
0.054; And what is so sad, he really believes this.
0.283; I'm taking violin lessons.
0.11; And Stephen took early retirement.
0.155; You've seen my wallet?
0.155; Without getting paid?
0.119; Gary heads to the door.
0.192; But she just signed her contract here, and he knows it.
0.173; What's good for me, Clara, is also good for us.
0.173; The last eight years have been good to him.
0.267; He still has a cat in his step.
0.139; What about getting a job?
0.267; Between looking for keys and slipping on flip-flops, Gary sets the Tupperware on the mail table and forgets it.
0.119; The door closes.
0.215; Margaret turns, glass in hand.
0.153; How could you not notice a huge leak right over your head?
0.183; You've got mustard stains all over your blouse.
0.109; We were trying to reach you.
0.173; No, Mama, we're good.
0.23; Gary got a job yet?
0.173; He was good at that.
0.216; You hold on to that job.
0.139; That was one conversation in thousands, but her mom won't forget.
0.222; Stephen can hear their agitated voices full of anger.
0.091; He stands in his pajamas by the light of the open fridge.
0.25; I'll handle it, Maggie.
0.25; There's nothing to handle here, Dad.
0.119; Margaret stands by the door.
0.294; She writes, Happy 21st birthday, sweetie.
0.294; Happy 21st birthday!
0.117; She doesn't know what else to say.
0.304; He uses them to help patients move through aggression.
0.243; She opens the pull-out couch, uses 800 thread sheets to make it feel nice.
0.134; He leans close with my kindness.
0.224; You need to do something you love.
0.281; There's an opportunity for Sasha.
0.088; Why don't you suggest it?
0.134; Stephen nods, pulls Margaret close.
0.239; I will, and then we'll get you a job that you love.
0.214; You've got to spend money to make money.
0.298; But you're not making any money.
0.13; We all look alike.
0.055; You look like her, but you're nothing like her.
0.183; I got addicted to prescription pills.
0.135; Once in New York, when Gary lost their money in the stock market, he slept in the closet.
0.119; In Alexandra's apartment, the bathroom door is all glass.
0.076; Alexandra's shadow stops outside the door.
0.22; In the darkness, he whispers, You've got this strange power.
0.117; You don't know?
0.117; Do you know where she is?
0.291; The hard job is done.
0.13; Margaret's blood leaves her body.
0.124; I need one of your sleeping pills, he says.
0.215; Margaret reaches for his hand.
0.122; He doesn't feel young, but he's grateful.
0.293; You look through his mail and you nag and you make him feel small.
0.286; Maggie's right.
0.122; Her fury overpowers his mass.
0.119; She throws on her clothes, pounds on the door.
0.119; Then a thump through the frosted glass door.
0.13; These leftovers look amazing.
0.343; When Margaret enters the ER, Sasha's never felt such relief.
0.215; and Margaret squeezes her hand.
0.196; She's not going to cry.
0.173; It's not good for me.
0.286; He's right behind her.
0.059; I know, says Sasha.
0.175; Three colorful foam tubes land on the Indian bedspread.
0.146; I wish you weren't going back to L.A. so soon.
0.215; The hand of Gary's mom shakes.
0.117; They don't know about the pending divorce.
0.26; They got money.
0.183; I gotta go, Clara blurts, and she runs.
0.278; Alexander leaves at 20 for their coffees.
0.336; He slides over a dirty martini and shrugs off her money.
0.029; I know he's not dead, Gary's mother says.
0.059; If you were a mother, you'd know.
0.286; Zimler, is that right?
0.124; On the house, and she can feel his compassion.
0.117; I know about Margaret, she whispers.
0.044; Later, she says.
0.139; The soundproof room is so incredibly quiet after Clara leaves.
0.077; Stephen picks up the anger management foam tubes.
0.138; The ceiling in Sasha's room is finally fixed.
0.214; Inside her room, she tears down the tarps, stops out of breath, looks at the unopened pile of mail.
0.163; Right now, I can only worry about you.
0.286; She can see right behind him, his bathroom.
0.119; The door, still all frosted glass, now fixed.
0.074; Do I look like Margaret now?
0.135; He slams the door shut.
0.056; On it, she's written, You killed her.
0.059; There's only one journalist I know.
0.122; Now I feel guilty and scared.
0.155; Has anyone seen Gary Loewsen?
0.158; Stay close to where he is.
0.055; And then she sticks her fingers inside Sasha's throat.
0.223; I got you, Sasha, she tells her.
0.423; Clara nods, checks her watch.
0.139; Her flight leaves in eight hours.
0.163; The huge white tent is a magnet.
0.294; The handmade happy birthday banner still hits her on the back.
0.133; His turban blocks her view of the asphalt.
0.3829787234042553
