text,start,end
 Let's all go to the lobby.,0.031,3.175
Let's all go to the lobby.,3.656,5.858
Let's all go to the lobby to get ourselves a treat.,6.359,10.544
Delicious things to eat.,12.166,13.448
The popcorn can't be beat.,13.488,16.992
The sparkling drinks are just dandy.,17.012,19.616
The chocolate bars and the candy.,19.996,22.399
So let's all go to the lobby to get ourselves,22.419,26.224
 To get ourselves a treat,30.811,36.332
 A young boy carrying a ball goes to an empty playground to play by himself.,44.75,49.519
The boy kicks the ball and then dashes after it.,49.8,52.325
He lines up his shot and kicks the ball again.,52.445,54.509
"The boy catches up to the ball and bounces it off the playground's fences several times, passing it to himself.",54.769,61.302
"As he circles the ball, lining up his next shot,",62.705,65.931
 His father shows up and calls for him.,66.62,68.763
The boy takes one final kick at the ball before leaving the playground to meet his waiting father.,68.783,73.429
The boy and his father exchange a few words and leave.,73.69,76.313
The boy and his father live in a modest two-story home with a pointed roof.,76.674,80.479
"After arriving home, they have a short chat, and the boy turns and climbs the stairs to his second-floor bedroom.",81.921,88.189
" His father follows, gives his son a goodnight kiss and tucks him in for the night.",93.822,98.27
"While the boy falls asleep, his father walks back downstairs to his bedroom on the first floor, climbs into bed and quickly falls asleep.",99.672,108.748
"Upstairs, the boy begins to dream.",110.731,112.955
The ceiling opens up and he floats into the sky along with a huge bird.,112.995,119.526
" High above mountains, the boy can fly.",122.543,125.334
The giant bird splits into two smaller birds which soar across the sky with the boy.,125.354,132.925
 The two birds become four birds.,135.554,137.678
"The boy plays with the birds, but then the flock gangs up on him and starts chasing him.",138.139,142.947
He tries to fly away but cannot escape.,143.188,145.412
"Thankfully, the dream ends and the birds disappear.",145.632,148.958
The boy sleeps peacefully for the rest of the night.,149.899,152.524
"In the morning, the boy's father climbs the stairs to his son's bedroom and wakes him up.",154.688,159.216
 The boy follows his father down the stairs to the first floor of their home.,165.743,169.489
They have a brief conversation before the boy heads out for the day.,169.709,173.034
The day passes.,173.655,174.576
The father waits for his son to return home.,182.748,185.032
"When he does, the two talk briefly.",185.833,187.976
The boy climbs into bed as does his father downstairs.,189.779,192.683
Both fall right asleep.,192.904,194.586
" Shortly after falling asleep, the boy starts to have the bird dream again.",198.768,202.521
The four birds from the previous night are back.,202.882,205.993
"They surround him, preventing him from escaping no matter which direction he turns.",206.013,210.448
 The birds transform into a giant monster with two long arms and two wobbly legs.,213.787,218.392
The monster swats at the boy.,218.612,220.294
He misses and tries again.,220.755,222.437
"Frightened, the boy flies over the monster, evading its grasp.",222.477,226.441
The monster scrunches into a little ball.,226.762,228.904
"It pounces, lunging at the boy.",229.104,230.866
"After the boy dodges this attack, the nightmare finally ends.",231.107,234.631
The boy sleeps peacefully for the rest of the night.,235.632,238.495
" In the morning, the boy's dad wakes up, walks to the stairs and shouts for his son to come down.",242.609,247.476
The boy jumps up and goes down the stairs.,247.637,250.22
"After a brief good morning, the boy again heads out for the day and the day passes.",252.744,257.912
"At the end of the day, the boy returns home, greets his father quickly,",262.879,270.591
 and then goes straight upstairs to his bedroom.,270.723,272.926
"The boy climbs into bed, as does his father downstairs.",275.609,278.873
Both eventually fall asleep.,279.453,281.276
"For the third night in a row, the boy begins to dream.",281.736,284.76
"The towering monster from the previous dream appears again, slowly following the boy and reaching for him with one arm.",288.705,295.132
The boy stays out of his reach and hovers uncertainly around the monster's feet.,295.913,300.679
 Suddenly he is joined by another boy.,302.566,304.709
The boys speak frantically as the monster reaches down.,304.749,308.554
The boys fly over the monster which is still clawing at them.,308.714,311.998
The boys make a desperate plan and the new boy speeds away.,312.719,315.703
He quickly returns with the ball.,315.883,317.645
The boys pull the ball in a slingshot.,318.767,320.669
"But the last minute they let it go, shooting the ball into the monster which breaks into a heap.",320.85,325.676
"Excited, the boy swoops over the heap.",325.896,328.219
 until he notices that the other boy is gone.,331.692,334.415
He goes looking for his new friend but can't find him.,339.722,342.505
He checks under the rubble for his friend.,342.986,344.988
"He finds the ball, but not the other boy.",348.753,351.356
His friend is nowhere to be seen.,351.376,355.721
"Disappointed, the boy abandons the ball",357.824,360.467
 and slowly leaves the dream.,363.637,365.379
He sleeps the rest of the night.,366.2,367.642
"In the morning, the boy's father wakes up and calls for him from the bottom of the stairs.",376.712,381.118
"The boy wakes up, gets out of bed, and walks downstairs.",381.718,385.763
 Father and son exchange a few words and the boy heads out.,386.637,390.083
The boy walks to the playground where his ball is still sitting at the far end of the yard.,390.584,395.332
"The boy enters the playground, closing the gate after himself.",395.833,404.547
He forlornly walks to the single ball.,406.591,409.135
 He slowly and unenthusiastically kicks the ball halfway down the yard.,414.734,418.984
"As he kicks the ball again, his mysterious friend from the dream appears and sneaks towards the playground.",421.891,427.766
He checks that his friend is there.,427.906,429.47
He quietly opens the gate.,429.67,431.595
 He sneaks up on the boy who still doesn't see him.,433.702,436.466
He taps the boy on the shoulder.,436.607,438.51
The boy whirls around.,438.61,439.872
The two friends talk back and forth.,439.932,441.755
The boy races to get his ball as his friend gets in position.,441.875,444.98
"The boy kicks the ball to his friend who quickly passes it back, playing together in real life just as they had in the dream.",445.06,452.352
