0.08; Did you have to buy a $400 bottle of scotch?
0.217; Gary waves away her upset.
0.632; He seems distracted, guilty of something.
0.205; To our doctor of philosophy, amazing art prodigy, to Gary Loewesen.
0.052; Married eight years, he still can't believe his good luck.
0.103; I'll be home late tonight, she adds.
0.121; She puts her hand on the small of his back, hoping he'd turn.
0.144; Clara, you're moving to New York, too?
0.161; Oh man, did I blow the surprise?
0.125; I just like to sleep deeply these days, that's all.
0.108; He puts his hand on her shoulder, but she wiggles away.
0.203; She takes out more bottles of wine from the cupboard.
0.171; Alexander's name vibrates on her phone.
0.007; It's just for a year.
0.208; And what is so sad, he really believes this.
0.183; Alexander doesn't respond.
0.171; Margaret's phone vibrates in her purse.
0.203; She takes his lunch and tosses it in the trash.
0.086; He looks at his phone.
0.273; Stephen yells at a man.
0.236; We were trying to reach you.
0.171; When the phone rings, Clara's throwing up.
0.148; That reminds Clara she has a card to send.
0.229; He calls to the back.
0.197; I'm simply upset.
0.113; The lawyer's name is John Zimler.
0.057; He's a great divorce lawyer.
0.145; She doesn't know what else to say.
0.186; Let me know how you are.
0.22; She opens the pull-out couch, uses 800 thread sheets to make it feel nice.
0.336; Gary is on the attack and she hates him.
0.17; The words are out now, spite-flying.
0.108; They're making Sasha's bed on the pull-out couch, new sheets, a festive Indian bedspread.
0.114; You know that ship has sailed, Margaret says simply.
0.5; Why don't you suggest it?
0.117; Back at the house, Gary's upstairs, left the lights on, their bottles of wine, his and hers.
0.246; He hands Sasha the olives.
0.273; She likes this man.
0.204; I don't believe in lies.
0.131; Maybe you know.
0.145; You don't know?
0.244; Who ended it?
0.266; There's no one to blame in a crib death.
0.171; Her phone rings, a call from her mom.
0.145; Do you know where she is?
0.13; Margaret's blood leaves her body.
0.202; He doesn't feel young, but he's grateful.
0.293; You look through his mail and you nag and you make him feel small.
0.234; Gary drives them home, taking the turn off the highway so sharp she thinks he'll kill them.
0.333; Her fury overpowers his mass.
0.184; His shadow lies still on the floor.
0.21; So much force.
0.171; CPR as she turns on her phone.
0.104; I believe this means New York is calling you, Gary.
0.157; I believe you should go.
0.273; He is one lucky man.
0.221; I left him a note.
0.084; Let's look at it as a new beginning for us, he deflects, stepping out of his clothes.
0.093; Two months later, October 2001, New York City.
0.115; I wish you weren't going back to L.A. so soon.
0.157; I'm going to ask you again.
0.145; They don't know about the pending divorce.
0.016; I clean up these flyers every day.
0.185; It's her son.
0.295; You have to be part of trying to find her.
0.207; Go home to your dad.
0.389; Alexander leaves at 20 for their coffees.
0.194; He tries to pick her up, but she doesn't let him.
0.235; Gary's father stands up.
0.235; Gary's father is shaking.
0.188; You go back to L.A. as you planned.
0.036; The hotel clerk brings her a glass of red wine.
0.116; On the house, and she can feel his compassion.
0.145; I know about Margaret, she whispers.
0.246; His hands flex an agromanagement foam tube.
0.194; The soundproof room is so incredibly quiet after Clara leaves.
0.168; He's about to put them away when he smashes them into his chair.
0.23; He can't stand the news.
0.226; She waves her father away.
0.124; Let me know how you are, Clara's added.
0.086; The phone rings right back.
0.17; Words dry up in her mouth.
0.203; She takes her purse and empties it.
0.147; She takes the test in the bathroom, embraces herself.
0.186; Dear Alexander, I'll meet with my colleagues on September 11th.
0.203; She chugs one last sip, then takes off.
0.246; She refuses to enter, hands him two Ziplocs.
0.097; I found out why she went to the office.
0.426; Now I feel guilty and scared.
0.4; Sasha walks into Alexander's offices.
0.007; This is not a repeat of last year, Sasha whispers.
0.254; Her flight leaves in eight hours.
0.143; But our son is in there, she points to the tent.
0.227; Two weeks before 9-11, I had a heart attack.
0.203; Clara takes an electric candle out of a Halloween lantern.
0.091; This sound, she thinks, is the opposite of death.
0.203; Alexander takes a lantern.
0.08
