text,start,end
" When I get the baton to run the anchor leg of the Distance Medley Relay, that's a race you run on a track, I'm five yards behind Vince Muterelli.",15.235,24.008
This race is over.,25.149,27.312
"You could have a hundred yard lead on Vince Muterelli, and over the course of a mile, he would reel you in, he would pass you, and he would win.",27.453,35.724
He is the best high school middle distance runner in the Northeast United States.,36.285,41.332
His nickname is La Machine.,41.993,44.517
 Because he runs like a cyborg and he never gets tired.,45.34,48.124
"Everyone, there's about 300 people that stands around the track that day.",49.065,52.149
Everyone knows that he has no chance of being beaten.,52.269,57.635
Except one guy.,58.677,59.938
One guy thinks maybe he can be beaten.,59.978,63.643
And that's the guy who should know better.,64.124,66.507
It's the guy with the baton who's five yards behind him.,66.547,71.032
Why?,71.733,72.394
 Why did I think that?,73.623,74.951
It's weird because I'm not even the best runner on my high school team.,75.032,78.774
That's a guy named Tom Novak.,78.794,80.545
 but he's been injured.,81.132,82.273
"And so I've known for about a month that I'll be running this anchor leg, the distance medley relay.",82.894,88.92
It has changed me.,88.94,90.021
"You know, normally I'm sort of a lazy athlete.",90.121,93.605
I just coast along on my genetic package.,93.625,96.889
I'm a skinny guy with big lungs.,96.949,98.53
"So, you know, I skip workouts.",98.891,100.873
I don't run on the weekend.,100.893,102.274
"But when I hear that I'm running against Vincent Minarelli, it turns me into like a sports movie montage guy.",102.595,109.722
" I am running all the time, every day of the week, and I'm throwing in extra workouts.",109.702,115.691
Why?,117.333,117.774
Why do I do that?,118.655,119.497
"It's because Vince Mutarelli is from the Bronx, where my parents grew up, and where the badasses, where the tough guys live.",120.758,129.191
"I am from Westchester County, where the men wear golf slacks, and the little dogs wear capes.",129.972,138.645
 I'm from the place that produces wimps.,139.587,143.794
And this really raises the question of what we inherit.,145.256,149.183
Can you have a trait that you never get to use because you don't encounter an environment that triggers it?,149.323,155.313
"In other words, are the Bronx guys like Muterelli tough because they live in the Bronx?",155.834,160.802
" Or are they tough because they inherit some sort of toughness, inherent toughness from their tough Bronx parents that's then triggered by their tough Bronx neighborhoods?",161.221,170.956
"And conversely, why am I a wimp?",171.978,176.145
Is it nature?,177.106,177.727
Is it nurture?,178.168,178.889
I need to know.,180.371,181.132
"So, we're running.",183.115,185.018
We're running in this race.,185.579,187.903
 The one thing you got to know is my parents didn't follow my athletic career all that closely.,189.25,195.557
"Although, a few weeks before, there was an exception.",195.657,198.861
My mom drove me to another race in the Bronx.,198.921,202.124
And that was kind of unusual.,202.965,204.687
And I had an off day and I'd finished sort of mid-pack.,204.747,208.251
"And as she's driving me home afterwards, she turned to me and she said, you know, I thought you were supposed to be good.",208.632,216.22
" And that really, it hurt me.",217.82,220.803
"Although I could see that as soon as she said it, she regretted it.",221.905,225.469
"So then she turned to me and she said, OK, we're taking a detour.",225.849,228.852
"I'm going to show you where I grew up, the apartment house where I grew up in the Bronx.",228.952,233.638
And I think why she did that is I'm 18 years old.,234.839,238.043
I'm about to leave for college.,238.383,240.726
I'm a senior in high school.,240.746,242.047
"And I think she wanted to let me know, she wanted to show me that",242.388,246.392
 She had fought to get out of her neighborhood and out of the working class poverty she grew up with.,246.98,253.009
And that you have to fight in this life.,253.55,255.914
Especially if you want to be good at something.,257.256,260.16
"So this apartment house she's taking me to, she has these like beautiful childhood memories of being a girl that's on a hill near Yankee Stadium and she and her friends used to sleigh ride in winter down the hill all the way to the river.",261.622,275.704
" And in summer, her dad would take her and her friends up to the roof at night, and he'd shoot off fireworks over the city.",275.836,283.724
But that was before the expressways came and just mutilated the neighborhood.,285.125,290.991
"So she knows it's gone downhill, but she doesn't know how much.",291.852,296.116
"She drives around a corner, and she pulls up at the curb in front of this apartment house, this place that has all of her childhood memories.",296.776,305.505
" And we look, and it's a pile of bricks in an empty lot.",306.481,311.09
And it's the only time I ever saw my mother cry.,312.252,316.16
"My mom and dad, she was a teacher and he was a government worker.",318.384,321.49
They thought the best thing that they could do for me and my brothers is to give us like a perfectly safe,321.53,327.662
 an uneventful childhood.,327.895,329.657
We grew up in this little suburb called Crestwood.,329.737,332.7
Norman Rockwell literally painted a picture of Crestwood train station and my parents got a cheap little print of it and put it in a little golden frame and hung it over the fireplace and on Sunday nights we would all sit on the couch and look at it as we sipped our cocoa and watched the wonderful world of Disney on TV.,333.1,355.101
" So my childhood was like a pasteurized glass of milk, and about as interesting.",356.583,366.733
"I'm about to leave home, and I don't know how to operate the stick shift on a car, or a checking account, or a condom.",368.015,375.983
"And you know, you can learn those things, and maybe someday I will.",377.244,381.028
But what's harder to learn when you grow up sheltered is resilience.,382.009,386.353
" So I sat in the car, and I watched my mom, and she cried, and she gave herself only a minute.",387.228,394.659
"And then she stopped, and she drove us home, and she made dinner for our family.",395.761,402.592
"And later that night, she did something just as hard.",403.533,406.137
"She came into my bedroom, and she sat down on the bed, and she apologized for what she had said earlier in the day.",406.738,414.45
 So my plan for beating Vince Mutorelli is to just stick close over three laps and then get on his shoulder for the fourth lap.,416.236,424.73
Somehow get to the back stretch and then fight him down the home stretch.,425.432,429.118
"And when you get to the last lap in a track race,",429.799,432.203
" The official rings a bell, so when Peter Allen and I reach the bell labyrinth, I am on his shoulder.",432.554,439.602
And that is just shocking to the crowd.,439.962,442.565
"But everyone knows that La Machine, he's just toying with me.",443.346,446.75
He can just pull away at any time.,446.77,448.652
But he doesn't.,449.753,450.754
"I stay with him around the curve, and now we're pounding it out down the backstretch.",450.774,456.34
And the crowd is getting excited.,456.821,458.362
"I'm right next to him, and he shoots me this look like, hey,",458.903,462.527
 Who are you?,463.418,464.08
And he pulls away to a five-yard lead.,464.1,468.194
"And I think to myself, oh, really?",468.234,471.344
"After all this work, you just pull away.",471.444,472.989
This is how I lose.,473.029,473.912
And then I see it.,474.835,476.922
 He chops his stride.,477.357,478.618
He's tired.,478.718,479.399
"So I bring myself back even with him, and we go through the final curve, and then we hit the back stretch, the home stretch, stride for stride.",479.979,489.728
"And now the crowd is on its feet, and people are screaming, and I even pull out to a little lead.",490.149,496.574
"And then he gets even, and he passes me.",496.594,499.597
"And somehow I will myself next to him again, and he looks at me again like, no, really, who are you?",500.458,507.364
" We're 10 feet from the line, five feet.",508.795,511.198
We lean.,511.959,512.36
I win.,514.843,515.264
"And a few weeks later, he and I will match up again in another race, just like this, at a much bigger meet called the Pain Relays, and he will bury me.",517.247,525.438
"But on this day, I win.",526.88,529.624
Why?,531.246,531.867
 I think it's because of something I got from my mom.,533.433,537.822
It's really the thing I value most.,537.902,539.625
"I think I inherited just a fraction of her toughness, of her high bridge, her Bronx.",539.826,550.868
