0.083; The only thing that seemed strange to him was the fact that none of the usual crowd was on the bus.
0.08; Guy Burkhardt got off in front of the gigantic Contro Chemical building, took the elevator to the 98th floor where he had worked in the accounting department for 12 years.
0.102; Oh, by the way, Miss Horne, what the devil is a feckle freezer?
0.177; There's some new copy on the elevator commercial.
0.083; He was still brooding as he and Mary got ready for bed.
0.152; The speaker in the elevator purred a new commercial this time.
0.099; I wouldn't say this, Mr. Burkhardt, except that, well, I've gotten to know you pretty well, and I've grown to admire you so much.
0.177; Supper will be ready in a minute, so don't start fooling around with that old boat hull you've been building.
0.2; It's supposed to be cement.
0.298; And here on the wall.
0.13; Well, your dinner will be ready in a...
0.118; Guy Burkhart got on his bus.
0.266; There's an excavation for a building about a block down.
0.059; You got it, friend.
0.309; Yeah, I was down in the cellar under the boat I'm building.
0.278; That's how I discovered it.
0.102; I found a way to get in, too.
0.348; There he removed a cut-out piece of metallic substance and they crawled into a dimly lighted tunnel.
0.118; We've got to be quiet now.
0.075; They've got a tunnel right under the whole town.
0.057; It's perfectly safe, unless one of them comes along.
0.177; They're evaluating data from the screens.
0.102; Have you gotten a chance to look at the data on those screens?
0.237; Why, in a year, he could sell us anything from freezers to political candidates.
0.098; I don't know, but somehow we've got to get out of this town and get to the FBI.
0.118; We've got to hide.
0.3; When I give the word, jump in.
0.202; We've got nothing to lose.
0.14; That is the last thing imprinted on your minds.
0.135; It came closer.
0.0827027027027027
