0.107; In a small bungalow off La Cienega, Clara serves homemade chili and chips in red plastic bowls, wine in blue plastic.
0.185; The colors don't match, and the cups are too big to serve wine.
0.206; Clara looks at her face in the hallway mirror.
0.199; She's slowly getting white hairs in her eyebrows.
0.203; She feels completely alone.
0.242; Grad students fill the low ceiling space, chewing big words and gesticulating emphatically.
0.251; Gary's face looks up from the photo his parents have framed in expensive mahogany.
0.254; Clara's carefully picked happy graduation paper banners hang too low from the adobe doors.
0.298; People have to duck when they go in the kitchen.
0.152; Black clothes, pearl necklace, her controlled, quiet elegance.
0.243; Oh, God, what is his daughter getting into again?
0.44; There is an edge in Margaret's voice.
0.462; Margaret pauses by the mirror, then touches her neck.
0.184; She hates her age.
0.182; Margaret turns and wraps her arms around Stephen's stoop frame.
0.162; He looks much older than 50.
0.115; His face is liquor flushed as he bends over a four-month-old baby boy, son of friends, his friends, not hers.
0.257; You're not daddy material, man.
0.239; Clara can see the back of Gary's neck, all red, embarrassed, but hiding it.
0.256; She knows this neck, has studied it each night for ten years.
0.119; The ten white sleeping pills stare at him, an act of defiance.
0.075; Have you told Margaret yet?
0.107; That your stocks have all tanked?
0.161; That I might have to drop out of college?
0.194; On the TV, the Middle East, India, wars, earthquakes, crashes.
0.258; And her voice for the first time is breaking.
0.144; And then, the moment they found out I was pregnant, Tommy's parents swept in and erased all our debt, all $10,000 in one check, so we could start fresh and not stress.
0.11; Jeannie looks up, expecting more of an answer.
0.298; People pat her on the back.
0.22; She gives the instructions in a pleasant, stiff voice and pulls out her cell.
0.135; I'm running a few minutes late.
0.438; Do you have children, princess?
0.081; She pays with a twenty as they pull by the fountain and hates herself because, as if to prove him right, she overtips.
0.304; His black faded t-shirt walks towards the kitchen.
0.194; Clara looks at the baby who's drooling over his hands and walks out of the room.
0.266; But Gary is giddy and thrilled and sees nothing wrong with their lives.
0.294; We'll work it out.
0.22; She can hear the pride in her voice, and she stops.
0.201; An ex-banker who listens to people's pain for a hobby.
0.088; Isn't that why you married?
0.225; He's not paying attention.
0.251; How long is this internship, Gary?
0.073; My new apartment looks great, Maggie, he says.
0.272; She catches a glimpse of herself in a window and is suddenly aware she should have colored her hair.
0.212; We're working on a major piece on international corruption.
0.312; Margaret is so aware of her aging neck.
0.092; A little networking opportunity.
0.462; She touches her neck.
0.228; Alexander hands Margaret his card.
0.121; What about getting a job?
0.213; Next to the Tupperware, she sees the envelope from American Express, Gary's business account.
0.175; He sits paralyzed under the light.
0.407; He's losing her.
0.192; The ceiling in Sasha's room is caved in.
0.075; No one told him about the damn leak.
0.168; Margaret walks away from this mess and into the living room, pours herself a large glass of red wine.
0.44; Sasha's voice is annoyingly calm.
0.158; Always check that before she calls back.
0.147; Ready for work?
0.253; He can hear Margaret's voice rising high.
0.231; Stephen moves to hug Sasha.
0.154; Margaret steps back and exits the room.
0.122; She wants to go far away.
0.176; Next time you blink, Clara, you'll be throwing away the last 20 and then 25 years of your life.
0.44; Her mom's voice is flat steel.
0.153; When her father died, Gary sat next to her mother for days holding her hand.
0.237; She chooses one in shades of purple and green.
0.267; She tears up the card, picks up another.
0.223; We'll have a family session.
0.192; The room is a wreck covered in tarps.
0.268; Margaret sets up for Sasha to sleep in the living room.
0.147; I want to go back to work.
0.294; Did Sasha say anything about you having to go back to work?
0.165; It's just, without work, I feel old.
0.243; She finds herself getting angry.
0.11; Then he waits, and Margaret almost cries because she knows that he means it.
0.238; You were running away.
0.438; We need income, Gary.
0.294; So you work harder now, pull more weight, then I will.
0.233; I am a staff writer, Gary.
0.13; I don't make the big bucks.
0.173; Maybe you should use your talents for something more lucrative.
0.25; They face off, bitterness nesting.
0.219; I made one mistake in my life, she hisses, and you won't let me forget.
0.17; He's already left the room as she yells.
0.275; I'm not paying for any of that.
0.177; She takes out Alexander's card, her voice all business.
0.228; Margaret hands him Alexander's card.
0.188; Sasha won't call him if she thinks it's my lead.
0.124; I really wish we'd had a child when we met, she says quietly.
0.267; Clara puts the birthday card in an envelope and walks out into the night.
0.133; Clara returns to the kitchen, mindless tidying, until she finds their joint Amex card.
0.386; It's the price tag that gets her.
0.382; I'll pay for it.
0.083; Like you said, I'll ask my parents.
0.212; Stop talking.
0.212; Just stop talking, Clara.
0.259; I thought you liked risks.
0.171; Alexander waves for the check.
0.181; You tell me a truth then.
0.147; Her voice takes Alexander by surprise.
0.204; Thirty-six thousand dollars.
0.289; She hates Gary, and in a flash she wishes him dead.
0.268; She walks to the living room.
0.175; She turns on a light, terrified of being alone, defeated, tormented, pacing, then hating herself more than him.
0.356; She spoons him, her face in his neck.
0.104; When people hear someone has died, they cover their mouths, as if to protect their own breath.
0.261; He's gone.
0.127; Gary holds Clara's hand and will not let it go.
0.154; The bathroom, white granite.
0.085; Red or white?
0.097; Clara doesn't ask about the price, nodding yes, of course, the best for their friends.
0.35; When you're not looking, babies die.
0.269; Grad students, pulled from their studios, rub swollen eyes.
0.223; Her family holds her.
0.081; Clara looks at him, proud.
0.121; Gary's hand on her arm, her pride rising.
0.267; And then he puts everyone's drinks on their card.
0.158; She looks at him, but everyone's looking too, so she smiles.
0.165; Clara has lost track of time.
0.162; He looks so distraught.
0.069; I don't listen until it's too late and then something horrible happens.
0.263; I'll wait up for her.
0.281; But I always turn Sasha over to you, to her mom, to a nanny.
0.228; We can work, he looks at her.
