text,start,end
" When the phone rang, the gray-haired man asked the girl, with quite some little deference, if she would rather for any reason he didn't answer it.",20.99,28.041
"The girl heard him as if from a distance and turned her face toward him, one eye on the side of the light, close tight, her open eye very, however, disingenuously large, and so blue as to appear almost violet.",29.002,41.401
"The gray-haired man asked her to hurry up, and she raised up on her right forearm just quickly enough so that the movement didn't quite look perfunctory.",42.302,50.254
" She cleared her hair back from her forehead with her left hand and said, God, I don't know.",51.348,58.478
"I mean, what do you think?",58.498,59.459
"The gray-haired man said he didn't see that it made a hell of a lot of difference one way or the other and slipped his left hand under the girl's supporting arm, above the elbow, working his fingers up, making room for them between the warm surfaces of her upper arm and chest wall.",60.621,76.142
He reached for the phone with his right hand.,77.003,79.026
 Hello?,79.985,80.305
he said resonantly into the phone.,81.327,83.169
The girl stayed propped up on her forearm and watched him.,83.869,86.693
"Her eyes, more just open than alert or speculative, reflected chiefly their own size and color.",87.614,92.94
"A man's voice, stone dead, yet somehow rudely, almost obscenely quickened for the occasion, came through at the other end.",94.582,100.629
"Lee, did I wake you?",101.249,102.331
The gray-haired man glanced briefly left at the girl.,103.372,106.135
Who's that?,106.595,106.996
he asked.,107.436,107.777
Arthur?,108.518,108.878
" Yeah, I wake you?",109.6,110.541
"No, no, I'm in bed, reading.",111.022,112.824
Anything wrong?,113.565,114.166
"The reason I called, Lee, did you happen to notice when Joanie was leaving?",115.207,118.811
Did you happen to notice if she left with the Ellenbogens by any chance?,119.292,122.496
"The gray-haired man looked left again, but high this time, away from the girl, who was now watching him rather like a young, blue-eyed Irish policeman.",123.377,130.686
"No, I didn't, Arthur, he said, his eyes on the far, dim end of the room, where the wall met the ceiling.",131.847,138.055
 Didn't she leave with you?,138.406,139.507
"No, Christ.",140.308,141.009
"You didn't see her leave at all, then?",142.011,143.212
"Well, no.",144.073,144.634
"As a matter of fact, I didn't, Arthur, the gray-haired man said.",144.854,148.279
Why?,148.719,149.019
What's up?,149.12,149.58
Journey lost?,149.901,150.481
"Oh, Christ.",151.202,151.863
Who knows?,152.344,152.764
I don't know.,152.864,153.425
You know her when she gets all tanked up and raring to go.,154.126,156.809
I don't know.,156.929,157.67
She may have just... You call the Ellenboggans?,158.051,160.494
The gray-haired man asked.,161.275,162.256
"Yeah, yeah, they're not home yet.",162.777,163.978
"I don't know, Christ.",164.599,165.54
I'm not even sure she left with them.,165.941,167.603
 I know one thing.,168.123,168.944
I know one goddamn thing.,168.985,170.267
I'm through beating my brains out.,170.307,171.809
I mean it.,171.87,172.27
I really mean it this time.,172.33,173.733
I'm through.,173.813,174.194
Five years.,174.694,175.235
Christ.,175.356,175.776
"All right, all right.",176.297,176.918
"Try to take it a little easy now, Arthur, the gray-haired man said.",178.701,182.167
He turned and gave the girl a sign with two fingers near his mouth that he wanted a cigarette.,182.628,187.156
"In the first place, if I know the Ellenbogens...",187.797,190.502
 They probably all hopped in a cab and went down to the village for a couple of hours.,191.208,195.112
All three of them will probably barge.,195.332,196.954
I have a feeling she went to work on some bastard in the kitchen.,197.234,200.377
I just have a feeling.,200.798,201.558
She always starts necking some bastard in the kitchen when she gets tanked up.,202.98,206.143
I'm through.,207.104,207.504
"I swear to God, I mean it this time.",208.325,209.727
"Five goddamn... Where are you now, Arthur?",209.807,212.169
The gray-haired man asked.,212.229,214.151
Home.,214.171,214.451
He straightened his back so the girl could reach behind him for the cigarettes.,215.492,220.017
" Yeah, home.",220.503,221.524
"Home, sweet home.",222.245,222.926
Christ.,223.067,223.427
"Look, Arthur, you want my advice, he said.",224.749,227.272
"Absently, he took his left hand out from between the girl's upper arm and chest wall.",227.773,231.859
Get in bed and relax.,232.62,233.841
Tell the truth.,234.322,235.043
Is it going to do you any good to sit around and stew?,235.644,238.308
"Yeah, I know.",238.908,239.669
"I wouldn't even worry, for Christ's sake, but you can't trust her.",240.911,243.995
I swear to God.,244.015,244.937
I swear to God you can't.,245.618,246.679
 The gray-haired man turned his head to see what the girl was doing.,247.587,250.671
She had picked up the ashtray and was putting it between them.,251.352,253.876
You know what I do?,254.817,255.478
You know what I do?,256.48,257.001
I'm ashamed to tell you.,257.061,259.043
But you know what I very nearly goddamn do every night when I get home?,259.965,265.012
You want to know?,265.713,266.194
"Arthur, listen, this isn't...",266.775,268.357
Wait a second.,268.377,268.958
I'll tell you.,269.198,269.899
" Goddammit, I practically have to keep myself from opening every goddamn closet door in the apartment, I swear to God.",271.01,276.278
"Every night I come home, I half expect to find a bunch of bastards hiding all over the place.",276.919,281.546
"All right, all right, let's try to take it a little easy, Arthur, the gray-haired man said.",282.187,287.175
"He turned his head toward the girl, perhaps to show her how forbearing, even stoic, his countenance was.",287.776,294.807
 But the girl missed seeing it.,295.613,296.754
"She had just overturned the ashtray with her knee and was rapidly, with her fingers, brushing the spilled ashes into a little pickup pile.",297.135,304.222
Her eyes looked up at him a second too late.,305.003,307.526
"In the first place, he said into the phone, I've told you many, many times, Arthur, that's exactly where you make your biggest mistake.",309.007,317.356
You know what you do?,318.618,319.259
You actually go out of your way to torture yourself.,319.959,322.482
" As a matter of fact, you actually inspired Joanie.",323.272,325.754
He broke off.,326.555,327.115
You're bloody lucky she's a wonderful kid.,328.056,329.898
I mean it.,329.918,330.919
You give that kid absolutely no credit for having any good taste.,331.92,334.722
Or brains.,335.363,335.943
For Christ's sake.,336.724,337.325
For that matter.,337.985,338.546
Brains?,339.086,339.446
Jesus!,339.647,339.967
If you knew how funny that was.,340.627,341.728
She thinks she's a goddamn intellectual.,342.129,344.011
That's the funny part.,344.231,344.971
That's the hilarious part.,344.991,346.112
"She reads the theatrical page and she watches television until she's practically blind, so she's an intellectual.",346.693,352.418
 You know who I married to?,353.309,354.23
"I married to the greatest living, undeveloped, undiscovered actress, novelist, psychoanalyst, and all-around goddamn unappreciated celebrity genius in New York.",354.71,362.637
"You didn't know that, did you?",363.498,364.419
"Christ, it's so funny I could cut my throat.",365.219,366.901
"In the first place, the gray-haired man said and slowly moved his hand and then caressed the little lock that rested on the girl's forehead.",368.562,375.548
"For a hell of an intelligent guy, you're about as tactless as it's humanly possible to be.",376.669,382.354
 We mismated.,383.566,384.187
That's all.,384.207,386.149
That's a whole simple story.,387.35,388.471
We just mismated as hell.,389.852,391.013
She doesn't respect me.,391.654,392.515
"She doesn't even love me, for God's sake.",392.555,394.357
"She bought me a suit once, with her own money.",395.238,397.74
I tell you about that?,398.461,399.162
"No, I...",399.862,400.683
The gray-haired man listened another moment.,400.703,402.585
"Then, abruptly, he turned toward the girl.",403.086,405.208
"The look he gave her, though only glancing, fully informed her what was suddenly going on at the other end of the phone.",405.788,411.514
" Now, Arthur, listen.",412.287,413.589
I say this in all sincerity.,414.109,415.812
Will you get undressed and get into bed like a good guy and relax?,416.893,420.518
Joanie will probably be there in about two minutes.,421.058,424.062
He listened.,424.783,425.244
"Arthur, do you hear me?",426.445,428.127
"Yeah, I hear you.",429.849,432.953
"Listen, I've kept you awake all night anyway.",432.973,435.837
"Could I come over to your place for a drink, would you mind?",437.139,439.662
" The gray-haired man straightened his back and placed the flat of his free hand on the top of his head and said, Now do you mean?",441.059,448.245
"Yeah, I mean if it's all right with you.",449.446,451.508
I'll only stay a minute.,451.528,452.83
I'd just like to sit down somewhere and...,452.89,455.412
"I don't know, would it be all right?",456.633,457.774
"Yeah, but the point is, I don't think you should, Arthur.",459.035,462.818
"The gray-haired man said, lowering his hand from his head.",463.799,466.322
"I mean, you're more than welcome to come.",467.362,470.205
 But I honestly think you should just sit tight and relax till Joanie waltzes in.,470.472,474.698
What do you want to be?,476.401,477.883
You want to be right there on the spot when she waltzes in?,477.923,480.868
Am I right or not?,482.25,482.991
Yeah.,484.293,486.256
I don't know.,486.276,486.656
"I swear to God, I don't know.",486.977,487.918
"Well, I do.",488.339,489.2
I honestly do.,489.42,490.162
"The gray-haired man said, Look, why don't you hop in bed now and relax?",490.903,494.748
"And then later, if you feel like it, give me a ring.",494.909,497.172
 I mean if you feel like talking.,497.928,499.791
"And don't worry, that's the main thing, hear me?",499.811,502.575
Will you do that now?,503.236,503.977
All right.,505.82,506.101
"The gray-haired man continued for a moment to hold the phone to his ear, then lowered it into its cradle.",507.583,512.811
What did he say?,515.435,516.477
 The girl immediately asked him.,517.132,518.354
"He picked his cigarette out of the ashtray, that is, selected it from an accumulation of smoked and half-smoked cigarettes.",518.915,526.045
"He dragged on it and said, ""'You wanted to come over for a drink.'",526.706,530.451
"""'God, what did you say?'",531.433,532.815
said the girl.,533.696,534.157
"""'You heard me,' the gray-haired man said and looked at her.",535.118,537.802
"""'You are wonderful, absolutely marvelous,' the girl said, watching him.",537.822,544.352
"""'Well,'",544.973,545.333
" The gray-haired man said, That's a tough situation.",546.022,548.426
I don't know how marvelous I was.,549.227,550.489
You were.,551.41,551.811
"You were wonderful, the girl said.",551.891,554.415
The gray-haired man looked at her.,555.616,556.678
"Well, it's a very, very tough situation.",557.68,561.085
The guy's obviously going through absolute...,561.105,563.328
The phone suddenly rang.,563.348,564.35
"The gray-haired man said, Christ!",565.091,566.653
But picked it up before the second ring.,567.414,568.956
Hello?,569.157,569.477
He said into it.,570.138,570.739
"Lee, were you asleep?",571.4,572.281
No.,573.203,573.383
No.,574.345,574.645
" Listen, I just thought you'd want to know what... Joanie just barged in.",575.62,578.824
What?,580.206,580.406
"said the gray-haired man, and bridged his left hand over his eyes, though the light was behind him.",581.387,587.374
"Yeah, she just barged in about ten seconds after I spoke to you.",587.395,590.879
I just thought I'd give you a ring while she's in the john.,591.56,594.423
"Listen, thanks a million, Lee.",595.124,596.165
I mean it.,596.746,597.106
"You weren't asleep, were you?",597.988,598.909
"No, no.",600.15,601.352
I was just... no.,601.372,603.214
 No.,603.43,604.251
"The gray-haired man said, leaving his fingers bridged over his eyes.",604.271,607.196
He cleared his throat.,607.537,608.298
"Yeah, what happened was apparently Leona got stinking and had a goddamn crying jag, and Bob wanted Joanie to go out and grab a drink with them somewhere.",609.86,622.621
"Anyway, so she's home.",623.682,624.484
What a rat race.,625.065,625.766
"Honest to God, I think it's this goddamn New York.",626.507,629.151
" What I think maybe we'll do, if everything goes along all right, we'll get ourselves a little place in Connecticut, maybe.",629.907,635.973
"Not far out, necessarily, but far enough that we can lead a normal goddamn life.",635.993,640.817
"I mean, she's crazy about plants and all that stuff.",641.518,643.54
She'd probably go mad if she had a garden.,644.501,645.902
If she had her own goddamn garden and stuff.,646.863,649.325
Know what I mean?,649.345,649.726
"I mean, except you.",650.787,651.848
Who do we know in New York except a bunch of neurotics?,652.308,654.35
It's bound to undermine even a normal person sooner related.,655.251,657.874
Know what I mean?,659.015,659.475
" Listen, Arthur.",660.687,661.248
"The gray-haired man interrupted, taking his hand away from his face.",662.228,664.851
I have a hell of a headache all of a sudden.,665.611,668.574
I don't know where I got the bloody thing from.,668.594,670.696
You mind if we cut this short?,671.317,672.558
"I'll talk to you in the morning, all right?",673.158,674.299
"He listened for another moment, then hung up.",675.18,676.962
"Again, the girl immediately spoke to him, but he didn't answer her.",678.123,680.885
"He picked a burning cigarette, the girl's, out of the ashtray and started to bring it to his mouth, but it slipped out of his fingers.",681.706,688.112
" The girl tried to help him retrieve it before anything was burned, but he told her to just sit still, for Christ's sake.",688.649,694.015
And she pulled back her hand.,695.161,696.246
