0.138; In a small bungalow off La Cienega, Clara serves homemade chili and chips in red plastic bowls, wine in blue plastic.
0.166; Grad students fill the low ceiling space, chewing big words and gesticulating emphatically.
0.149; Stephen Perdue watches his wife get ready for her violin lesson.
0.148; So yes, I think you should do it.
0.139; The graduation party keeps going.
0.057; Clara can see the back of Gary's neck, all red, embarrassed, but hiding it.
0.162; She puts her hand on the small of his back, hoping he'd turn.
0.089; Clara, you're moving to New York, too?
0.087; Have you told Margaret yet?
0.118; You haven't told my stepmother you lost all your money?
0.176; Can't afford it for one.
0.05; I don't really like modern art, installation art.
0.138; She gives the instructions in a pleasant, stiff voice and pulls out her cell.
0.186; She pays with a twenty as they pull by the fountain and hates herself because, as if to prove him right, she overtips.
0.055; No art residencies for us, Jeannie laughs and nods at the gurgling boy on her lap.
0.027; She thankfully chews like a chipmunk.
0.294; He did very well with investments.
0.114; But after she came back...
0.208; He's not paying attention.
0.195; How long is this internship, Gary?
0.174; I can't afford to float this whole place by myself.
0.293; Alexander pays for their hot dogs with crumpled up dollar bills he pulls out of his pocket.
0.07; Is this a come online?
0.075; I need you to connect me with your former colleagues on Wall Street, he says.
0.077; Margaret is so aware of her aging neck.
0.173; A little networking opportunity.
0.167; Alexander hands Margaret his card.
0.137; Is New York worth the fight?
0.067; She can hear loud yelling from the back.
0.087; No one told him about the damn leak.
0.135; I don't want to pick a fight with you, Margaret.
0.269; You want me to send you some money?
0.342; That reminds Clara she has a card to send.
0.145; You still want the name of that lawyer?
0.246; I'm simply upset.
0.111; He's a great divorce lawyer.
0.118; I'll send you the number, says her mother before she hangs up.
0.333; She tears up the card, picks up another.
0.16; But today, she adds one more line.
0.305; It will help us all loosen up.
0.174; There are more pressing issues than foam fights.
0.114; We came to L.A. because of you, Clara.
0.277; We need income, Gary.
0.179; The words are out now, spite-flying.
0.122; I don't make the big bucks.
0.119; Why don't you want to come back to New York?
0.128; You want to go to New York?
0.137; I'll keep growing up.
0.091; You go ahead and act out.
0.417; I'm not paying for any of that.
0.082; You know that ship has sailed, Margaret says simply.
0.147; She takes out Alexander's card, her voice all business.
0.167; Margaret hands him Alexander's card.
0.333; Clara puts the birthday card in an envelope and walks out into the night.
0.135; What if she kept walking and just ran away?
0.167; Clara returns to the kitchen, mindless tidying, until she finds their joint Amex card.
0.139; The charges are for photographic equipment and new luggage and a ticket, only one ticket, one way to New York, expensive clothes and a fancy hotel in Tribeca.
0.111; He acts disappointed.
0.071; I thought you liked risks.
0.201; You're not a girl who likes playing safe.
0.056; And that's how she knows.
0.218; He's gone.
0.09; Red or white?
0.117; She tries to think of something sassy, but says, Red, thanks, then adds, My own glass.
0.188; You make me do things, admit things.
0.24; She shrugs in the dark.
0.107; She moves on him slow, as if doing nothing, until he can't help but moan, not thinking, just moving, relentless, triumphant.
0.136; Gary's hand on her arm, her pride rising.
0.333; And then he puts everyone's drinks on their card.
0.056; No one knows what to say, so everyone drinks.
0.241; I'll wait up for her.
0.191; The bar is half dark, stinks of grief, sweat, and wine.
0.071; Gary at the other end of the bar.
0.04; After the car screeches back in control, Gary says just one line.
0.148; Do you think they'll make it?
0.059; At 3.30 a.m., Sasha wakes up feeling pain, jolted, forced.
0.176; I'm not feeling well.
0.11; I think I'm going to cancel the trip to New York, says Gary.
0.143; It's not such a big deal.
0.172; You've booked the hotel.
0.302; You've bought your supplies.
0.129; It's morning when they exit the hospital.
0.152; I'll help you get your Pulitzer article together.
0.143; I remember her practicing.
0.169; They run out, but Gary's mom is not done.
0.223; I'm going to ask you again.
0.087; Have you told them about Gary's debts?
0.121; He doesn't wait for the change.
0.231; He tries to pick her up, but she doesn't let him.
0.545; She can't keep ignoring the facts.
0.086; Haunted, Clara walks the half block back to her hotel.
0.143; Someone's waiting for you at the bar.
0.092; I found a letter from a lawyer you hired.
0.089; She's been dreading these words, fooling me and my wife in our grief.
0.143; The hotel clerk brings her a glass of red wine.
0.071; I remember your cell, he says.
0.246; I gave Margaret's toothbrush for the DNA file today.
0.146; Happy 21st birthday, says the card posted in L.A. in August.
0.333; Sasha tears up the card and tosses it into the garbage.
0.305; I don't have his toothbrush, his comb, anything to help with the DNA tracking.
0.438; You're responsible for...
0.163; Remember Sasha, the little girl I used to take care of during grad school?
0.179; Words dry up in her mouth.
0.027; Her laughter sounds like a mating hyena.
0.167; He hands her a card.
0.229; When I sent her her birthday card, I was so stuck, so trapped.
0.258; He promises to do his best to get an article out.
0.333; Clara's torn birthday card.
0.218; They're all gone.
0.145; Terror and relief live on Clara's face as she starts CPR.
0.163; I think I need an ultrasound.
0.128; You want to hear it?
0.076; The black and white images come and go on the screen, just like clouds.
0.028; He knows what's inside.
0.141; We thought you were someone else.
0.163; They found a small fragment, a bone.
0.21; It's not our place to ask.
0.15; This sound, she thinks, is the opposite of death.
0.05; On 30th Street and First Avenue, the rain beats fast against the chalk white canvas.
0.13799912242211498
