text,start,end
 Let's all go to the lobby.,0.031,3.175
Let's all go to the lobby.,3.656,5.858
Let's all go to the lobby to get ourselves a treat.,6.359,10.544
Delicious things to eat.,12.166,13.448
The popcorn can't be beat.,13.488,16.992
The sparkling drinks are just dandy.,17.012,19.616
The chocolate bars and the candy.,19.996,22.399
So let's all go to the lobby to get ourselves,22.419,26.224
 To get ourselves a treat,30.811,36.332
 A small triangle overlapping a smaller circle slides into a rectangle.,44.75,49.077
The triangle touches the circle which glides away.,49.758,52.142
The triangle slides to it and the circle moves away.,52.222,54.646
The triangle comes into contact with the circle again and the circle ricochets between the side of the rectangle and the triangle several times.,54.766,61.657
"The triangle moves in a ring around the circle, rotating.",62.678,66.184
 A large triangle slides towards the rectangle.,66.62,68.763
The small triangle slides outside the rectangle until it is adjacent to the large triangle.,68.823,73.751
"After bouncing, both triangles slide out of the scene.",73.771,76.455
The rectangle reassembles into a square-like structure with a triangular top and a line in the middle.,76.696,81.723
The triangles slide into the structure through a gap in the bottom.,81.843,84.768
The triangles rotate 90 degrees.,85.709,87.713
"The small triangle slides diagonally to the upper right, stopping at the middle line.",88.073,92.56
 The large triangle does the same.,93.839,95.481
The triangles rotate so their top corners touch and then the small triangle rotates so the top corner points up.,96.222,102.871
The large triangle slides diagonally down and rotates in place.,103.532,107.176
"Both triangles move slightly, up and down, up and down.",107.417,110.981
The top of the structure rotates open and the small triangle moves slowly upwards while rotating.,111.342,116.809
 The structure turns into a large V. The branches of the V rotate up and down.,123.37,127.695
"The V splits into two smaller Vs and the triangle moves left and right with the Vs. Again, the two Vs split in half, making four Vs.",127.775,138.669
"The four Vs move in the same direction as the triangle, which moves left and right.",140.851,145.036
The Vs reform the original square-like structure.,145.677,148.821
 The big triangle appears and the triangles move slightly up and down.,149.628,153.292
The big triangle moves diagonally up to the middle line.,154.634,157.537
"Adjacent to the little triangle, it moves up and down once.",158.318,161.902
The large triangle moves diagonally down.,165.827,167.849
The small triangle does the same.,167.969,169.471
The small triangle slides down out of the structure.,169.751,172.334
The large triangle disappears and the entire structure rotates 360 degrees.,173.655,178.521
 The large triangle appears at the bottom.,182.669,184.531
"The small triangle moves into the structure, moves up and down next to the large triangle once, and then slides diagonally up to the middle of the structure.",184.651,192.599
Both triangles rotate 90 degrees and then bounce slowly in place.,192.88,196.804
The structure's lower pieces form four Vs that again move up and down.,198.806,202.69
The small triangle moves upward.,202.89,204.492
The Vs are positioned around the triangle moving with it.,204.892,207.715
 The Vs become rigid and form separate bars.,213.787,216.17
Other pieces form four longer lines.,216.37,218.472
The long line on the left has hinges and moves towards the triangle.,218.613,221.936
The triangle moves to the upper right while the lines move down.,226.742,229.665
"The lines then move vertically, extending towards the triangle.",229.766,232.829
The moving lines reform the square-like structure and the small triangle moves down to the middle line.,232.849,237.955
" The large triangle appears, moves left and then rotates to point diagonally up.",242.609,247.418
It bounces.,247.759,248.32
The little triangle rotates 90 degrees and slides diagonally down.,248.66,252.428
Both bounce and the little triangle exits the structure.,252.768,255.534
The large triangle disappears and the structure rotates 360 degrees.,256.696,260.844
The large triangle appears.,261.084,262.627
"The small triangle slides into the structure,",262.887,265.292
 bounces adjacent to the large triangle and glides diagonally upwards towards the middle line.,268.563,273.611
"It rotates until it points up, as does the large triangle below.",275.694,279.34
Both bob slightly up and down.,279.64,281.583
The top of the square-like structure opens and the small triangle moves upwards.,281.803,286.15
 The square forms six lines.,288.678,290.42
Two have moving parts.,290.66,291.621
"The lines move sideways all together, and a long line with hinges swings out towards the triangle.",291.821,297.106
The triangle moves downwards.,297.666,299.168
A small square appears from the left.,302.671,304.493
Two of the lines rotate to point at them.,305.634,307.636
The square and the triangle move counterclockwise around the screen.,308.757,312.08
The square and triangle move up and down.,312.8,314.982
The square leaves and re-enters with a small circle.,315.142,317.925
 The circle is between the triangle and square.,318.749,320.793
The circle moves quickly towards the lines.,320.873,322.837
"When the circle touches the lines, they collapse into pieces.",323.057,325.602
"The triangle moves above the pieces, making a small loop and then glides off the screen.",325.863,333.838
 The pieces are stationary.,339.623,341.045
The triangle reappears from the bottom left of the screen.,341.285,343.969
The top of the triangle touches one of the pieces which rotates up and back down.,344.529,348.294
The motion is repeated on another piece and the triangle touches the circle underneath it.,348.735,352.82
The circle and triangle moving in sync move up and make a full revolution.,353.821,357.706
The triangle moves off screen while the circle and the pieces are stationary.,357.826,361.531
The pieces reform the square-like structure.,363.754,366.137
 The small triangle moves slowly into it from the top.,369.762,372.345
"The large triangle appears in the bottom, moves left, and bounces once.",376.711,380.496
"The small triangle rotates 90 degrees, glides diagonally down, and bounces next to the large triangle.",381.717,388.967
It slides out of the structure.,388.987,390.549
The structure reconfigures into a rectangle with a gap in the upper left side and a circle in the bottom left.,390.609,395.836
The small triangle slides through the gap.,396.416,398.419
 It touches the angled bar which rotates to close the gap.,402.787,405.689
The triangle slides towards the circle until they are touching.,406.61,415.718
The circle moves upward and stops.,416.379,421.783
The triangle moves towards the circle and the circle moves away.,421.803,424.345
A square appears on the left and moves towards the rectangle.,424.686,427.528
The square stops.,427.908,428.829
It touches the bar which rotates to make a gap.,429.77,432.152
 It moves to the triangle's position.,433.718,435.481
The shapes touch and then bounce adjacent to each other.,436.622,439.287
The triangle moves to the circle and the circle moves to the square.,441.891,444.815
The circle moves repeatedly between the square and the triangle.,446.778,450.023
